"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcformatmimetype","dcidentifierBG","dcidentifierentitat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 36"
"Museu d'Història de la Ciutat (Barcelona) | Oficina del Historiador de la Ciudad de La Habana | Direcció de Serveis de Justícia Global i Cooperació Internacional | Gerència de Presidència i Economia","","Barcelona | L'Havana (Cuba) | Barcelona | Havana (Cuba) | Barcelona | La Habana (Cuba)","1779 | 1780 | 1781 | 1782 | 1783 | 1784 | 1785 | 1786 | 1787 | 1788 | 1789 | 1844 | 1874 | 1845 | 1846 | 1855 | 1856 | 1857 | 1858 | 1908 | 1905 | 1902 | 1859 | 1860 | 1875 | 1878 | 1882 | 1861 | 1862 | 1863 | 1864 | 1865 | 1932 | 1866 | 1935 | 1867 | 1885 | 1792 | 1868 | 1884 | 1869 | 1870 | 1883 | 1903 | 1871 | 1872 | 1886 | 1887 | 1888 | 1790 | 1934 | 1931 | 1889 | 1890 | 1904 | 1907 | 1910 | 1891 | 1892 | 1893 | 1894 | 1895 | 1896 | 1819 | 1897 | 1913 | 1823 | 1898 | 1912 | 1791 | 1899 | 1911 | 1900 | 1901 | 1914 | 1915 | 1916 | 1821 | 1818 | 1815 | 1917 | 1918 | 1933 | 1936 | 1793 | 1919 | 1920 | 1921 | 1922 | 1923 | 1848 | 1924 | 1851 | 1925 | 1796 | 1822 | 1926 | 1795 | 1927 | 1928 | 1794 | 1816 | 1929 | 1930 | 1797 | 1798 | 1799 | 1800 | 1850 | 1847 | 1801 | 1802 | 1817 | 1820 | 1824 | 1803 | 1804 | 1805 | 1806 | 1807 | 1808 | 1877 | 1809 | 1827 | 1881 | 1810 | 1826 | 1811 | 1812 | 1825 | 1813 | 1814 | 1828 | 1829 | 1830 | 1879 | 1876 | 1873 | 1831 | 1832 | 1849 | 1852 | 1833 | 1834 | 1835 | 1836 | 1837 | 1838 | 1906 | 1839 | 1909 | 1840 | 1854 | 1880 | 1841 | 1853 | 1842 | 1843","2017",2017,"Podeu consultar la versió en castellà : http://hdl.handle.net/11703/114559 | Basat en el guió en català [http://hdl.handle.net/11703/110805], en castellà [http://hdl.handle.net/11703/110806] i en anglès [http://hdl.handle.net/11703/110807] | You can check the spanish version in: http://hdl.handle.net/11703/112746 | Based on the Script in cata4559[http://hdl.handle.net/11703/110805], spanish [http://hdl.handle.net/11703/110806] and in english language [http://hdl.handle.net/11703/110807] | Puede consultar la versión en español en: http://hdl.handle.net/11703/114559 | Basado en el Guión en catalán [http://hdl.handle.net/11703/110805], en castellano [http://hdl.handle.net/11703/110806] y en inglés [http://hdl.handle.net/11703/110807]","El documental desplega els vincles econòmics, socials i culturals de Barcelona amb l’Havana que han marcat la trajectòria i el paisatge de les capitals de Catalunya i Cuba, totes dues emmarcades dins de la monarquia hispànica. La independència de Cuba, el 1898, no va impedir una relació intensa que va continuar en el primer terç del segle XX. El documental ha estat promogut per l’Ajuntament de Barcelona, ciutat agermanada amb l’Havana des de 1993, a través de la seva línia de cooperació internacional. Documental produït amb el suport de la Direcció de Justícia Global i Cooperació Internacional de l’Ajuntament de Barcelona. | The documentary shows the economic, social and cultural ties of Barcelona with Havana that have marked the path and the landscape of the capitals of Catalonia and Cuba, both framed within the Hispanic monarchy. The independence of Cuba, in 1898, did not prevent an intense relationship that continued in the first third of the twentieth century. The documentary has been promoted by the City Council of Barcelona, city twinned with Havana since 1993, through its line of international cooperation. Documentary produced with the support of the Direcció de Justícia Global i Cooperació Internacional of the City Council of Barcelona. | El documental despliega los vínculos económicos, sociales y culturales de Barcelona con La Habana que han marcado la trayectoria y el paisaje de las capitales de Cataluña y Cuba, ambas enmarcadas dentro de la monarquía hispánica. La independencia de Cuba, en 1898, no impidió una relación intensa que continuó en el primer tercio del siglo XX. El documental ha sido promovido por el Ayuntamiento de Barcelona, ciudad hermanada con La Habana desde 1993, a través de su línea de cooperación internacional. Documental producido con el apoyo de la Dirección de Justicia Global y Cooperación Internacional del Ayuntamiento de Barcelona.","","video/mp4","34 min. 30 s.","","video/mp4","","entitats públiques empresarials","http://hdl.handle.net/11703/112746","https://bcnroc.ajuntament.barcelona.cat/videos/11703_112746_118b4ff6-6b4f-4235-b3e9-aae9bebef39e.mp4","cat","Ajuntament de Barcelona | Museu d'Història de la Ciutat de Barcelona","http://hdl.handle.net/11703/114559","http://hdl.handle.net/11703/110805 | http://hdl.handle.net/11703/110806 | http://hdl.handle.net/11703/110807","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | http://creativecommons.org/licenses/by-nc-nd/4.0/deed.en | http://creativecommons.org/licenses/by-nc-nd/4.0/deed.es","Història | Art | Urbanisme | Arquitectura | History | Art | Urban Planning | Architecture | Historia | Arte | Urbanismo | Arquitectura","Cultura i oci","videos","L'Havana i Barcelona, història de dues ciutats (1779-1936)","","movingImage","info:eu-repo/semantics/other",""
"Esplugas, Antoni","","Barcelona. Districte 1. Ciutat Vella | Colom, Passeig (Barcelona) | Barcelona. District 1. Ciutat Vella | Colom, Boulevard (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Colom, Paseo (Barcelona) | Portal de la Pau, Plaça (Barcelona) | Portal de la Pau, Plaza (Barcelona) | Portal de la Pau, Square (Barcelona)","1892","1892",1892,"Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn003321) | Data de publicació basada en la data de creació | Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn003321) | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn003321) | Fecha de publicación basada en la fecha de creación","IV Centenari del descobriment d' Amèrica. El passeig Colom ornamentat per l'ocasió amb mobiliari efímer | IV Centenary of the discovery of America. The Passeig Colom adorned for the occasion with ephemeral furniture | IV Centenario del descubrimiento de América. El paseo Colón ornamentado para la ocasión con mobiliario efímero","","image/jpeg","1 fotografia","Paper positivat, blanc i negre, 16 x 20,5 cm, albúmina","image/jpeg","","","http://hdl.handle.net/11703/110407","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Esdeveniments especials | Decoració i ornamentació | Special events | Decoration and ornament | Decoración y ornamentación | Eventos especiales","","fotografies | documents digitalitzats","IV Centenari del descobriment d'Amèrica","","image","info:eu-repo/semantics/other",""
"Pellicer, Josep Lluís","","Barcelona. District 1. Ciutat Vella | Rambla, La (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Rambla, La (Barcelona) | Barcelona. Districte 1. Ciutat Vella | Rambla, La (Barcelona)","1879","1879",1879,"Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 04734). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 04734). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 04734). | Data de publicació basada en la data de creació.","Manifestación en la Rambla de periodistas y estudiantes apoyando las víctimas de las inundaciones de Murcia | Manifestació a la Rambla de periodistes i estudiants recolçant les victimes de les inundacions de Murcia | Demonstration on the Rambla of journalists and students supporting the victims of the floods in Murcia","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111905","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en","Carrers | Manifestacions | Streets | Demonstrations | Calles | Manifestaciones","","fotografies | documents digitalitzats","Barcelone. Quête Faite Dans Les Rues Par Les Journalistes Et Les Étudiants Au Profit Des Inondés de Murcie. d'Après Un Croquis de M. Pellicer, Correspondant de l'Illustration [Xi 1879?]","","image","info:eu-repo/semantics/other",""
"Pérez de Rozas  (Família)","","Barcelona. Districte 3. Sants-Montjuïc | Barcelona. District 3. Sants-Montjuïc | Barcelona. Distrito 3. Sants-Montjuïc","1929","1929",1929,"Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn000036). | Data de publicació basada en la data de creació | Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn000036). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn000036). | Fecha de publicación basada en la fecha de creación","","","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111491","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es","Reunions públiques | Exposició Internacional de Barcelona (1929) | Public meetings | Exposición Internacional de Barcelona (1929-1930) | Reuniones políticas | Exposición Internacional de Barcelona (1929)","","fotografies | documents digitalitzats","Inauguració oficial de l'Exposició Internacional de 1929","","image","info:eu-repo/semantics/other",""
"Autor desconegut","","Barcelona. District 3. Sants-Montjuïc | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Districte 3. Sants-Montjuïc | Montjuïc, Parc (Barcelona) | Montjuïc, Parque (Barcelona) | Montjuïc, Park (Barcelona)","1920","1920",1920,"Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn001520). Unknown author | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn001520). Autor desconocido | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn001520). Autor desconegut | Data de publicació basada en la data de creació","Sunday. Stroll through Montjuïc mountain. Photography awarded in the November 1921 competition | Diumenge. Passejada per la muntanya de Montjuïc. Fotografia premiada en el concurs de novembre de 1921 | Domingo. Paseo por la montaña de Montjuïc. Fotografía premiada en el concurso de noviembre de 1921","","image/jpeg","1 fotografia","Paper positivat, blanc i negre, 11,7 x 16,5 cm, gelatina DOP","image/jpeg","","","http://hdl.handle.net/11703/110397","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | http://creativecommons.org/licenses/by-nc-nd/4.0/deed.en | http://creativecommons.org/licenses/by-nc-nd/4.0/deed.es","Muntanyes | Esbarjo | Mountains | Recreation | Montañas | Actividades recreativas","","fotografies | documents digitalitzats","Passejada per la muntanya de Montjuïc","","image","info:eu-repo/semantics/other",""
"Autor desconegut","","Barcelona. District 1. Ciutat Vella | Ciutadella, Park (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Ciutadella, Parque (Barcelona) | Barcelona. Districte 1. Ciutat Vella | Ciutadella, Parc (Barcelona)","1888","1888",1888,"Unknown author | Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 25022). | Issued date based on created date | Autor desconocido | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 25022). | Fecha de publicación basada en la fecha de creación | Autor desconegut | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 25022). | Data de publicació basada en la data de creació.","Plano del recinto de la Exposición Universal de 1888 y alzados de los diferentes palacios de la muestra: Palacio de la Industria, Arco del Triunfo, Invernadero, Puente, Café-Restaurante, Palau de la Agricultura, Palacio de las Ciencias, Palacio de Bellas Artes, Construcción Naval, Galería de Máquinas. | Plànol del recinte de l'Exposició Universal de 1888 i alçats dels diferents palaus de la mostra: Palau de la Indústria, Arc de Triomf, Hivernacle, Pont, Café-Restaurant, Palau de l'Agricultura, Palau de les Ciències, Palau de Belles Arts, Construcció Naval, Galeria de Màquines. | Plan of the 1888 Universal Exhibition and elevations of the different palaces of the exhibition: Palace of Industry, Arc de Triomphe, Greenhouse, Bridge, Café-Restaurant, Palau de la Agricultura, Palace of Sciences, Palace of Fine Arts , Naval Construction, Machine Gallery.","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111900","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en","Exposició Universal de Barcelona (1888) | Plànols | Exposición Universal de Barcelona (1888) | Plans | Exposición Internacional de Barcelona (1888) | Planos","","fotografies | plànols | documents digitalitzats","Plano General de la Exposición Universal de Barcelona 1888 Y Edificios Principales de la Misma.","","image","info:eu-repo/semantics/other",""
"Autor desconegut","","Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Districte 1. Ciutat Vella","1896","1896",1896,"Unknown author | Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 11960). | Issued date based on created date | Autor desconocido | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 11960). | Fecha de publicación basada en la fecha de creación | Autor desconegut | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 11960). | Data de publicació basada en la data de creació.","Aldurulls contra Estados Unidos en la calle Ferran y en las plazas de Cataluña y Teatro | Aldurulls contra els Estats Units al carrer Ferran i a les places de Catalunya i Teatre | Aldurulls against the United States in the street Ferran and in the squares of Catalonia and Theater","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111877","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en","Conflictes socials | Manifestacions | Social conflicts | Demonstrations | Conflictos sociales | Manifestaciones","","fotografies | documents digitalitzats","Manifestación en Barcelona contra los Estados Unidos en la Plaza de Cataluña. Frente a la Calle Fernando. En la Plaza del Teatro [1896]","","image","info:eu-repo/semantics/other",""
"Ant. y Emilio F. Dits Napoleon","","","1902","1902",1902,"Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn000073) | Data de publicació basada en la data de creació. | Anne Tiffon i Antonio Fernández Soriano van ser els fundadors d'una de les sagues familiars de fotògrafs més importants de Barcelona durant la segona meitat del segle XIX i principis del XX, la firma «A. i E. Dits Napoleón»; coneguts com a Fotògrafs Napoleon | Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn000073) | Issued date based on created date | Anne Tiffon and Antonio Fernández Soriano were the founders of one of the most famous family sagas of photographers in Barcelona during the second half of the nineteenth and early twentieth centuries, the signature ""A. and E. Dits Napoleón »; known as Napoleon Photographers | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn000073) | Fecha de publicación basada en la fecha de creación. | Anne Tiffon y Antonio Fernández Soriano fueron los fundadores de una de las sagas familiares de fotógrafos más importantes de Barcelona durante la segunda mitad del siglo XIX y principios del XX, la firma «A. y E. Dichos Napoleón »; conocidos como Fotógrafos Napoleon","Retrat d'Antonio Maura | Portrait of Antonio Maura | Retrato de Antonio Maura","","image/jpeg","1 fotografia","Paper positivat, blanc i negre, 17,5 x 11,7 cm, gelatina DOP","image/jpeg","","","http://hdl.handle.net/11703/110388","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Politics | Maura, Antonio | Politicians | Maura, Antonio | Políticos | Maura, Antonio","","fotografies | documents digitalitzats","Retrat d'Antonio Maura","","image","info:eu-repo/semantics/other",""
"Pérez de Rozas  (Família)","","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella","1936","1936",1936,"Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn006147). | Data de publicació basada en la data de creació | Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn006147). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn006147). | Fecha de publicación basada en la fecha de creación","Arribada del vaixell soviètic Ziryanin al port de Barcelona. Vaixell carregat de vitualles pel poble i d'altres embarcacions que van anar a rebre'l. | Arrival of the Soviet ship Ziryanin the port of Barcelona. Boat loaded with provisions for the town and other boats that went to receive it. | Llegada del barco soviético Ziryanin el puerto de Barcelona. Barco cargado de víveres por el pueblo y otras embarcaciones que fueron a recibirlo.","","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111474","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es","Vaixells | Ports | Port de Barcelona | Ships | Harbors | Port de Barcelona | Barcos | Puertos | Port de Barcelona","","fotografies | documents digitalitzats","Arribada del vaixell soviètic Ziryanin al port de Barcelona","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1899","1899",1899,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:1-1-1391) | Unknow author | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:1-1-1391) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1899 a 1902. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:1-1-1391) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1899 a 1902.","L'inici de la primera intervenció va ser marcat com l'1 de gener de 1899 e va finalitzar el 20 de maig de 1902, amb la instauració de la República. ElPalacio de los Capitanes Generales, va ser la seu del Govern militar. | The beginning of the first intervention was marked as January 1, 1899 and ended on May 20, 1902, with the establishment of the Republic. The Palace of the General Captains, was the seat of the military Government. | El inicio de la primera intervención fue marcado como el 1 de enero de 1899 y finalizó el 20 de mayo de 1902, con la instauración de la República. El Palacio de los Capitanes Generales, fue la sede del Gobierno militar.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114424","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Molls | Edificis militars | Wharves | Military buildings | Muelles | Edificio militar","","fotografies | documents digitalitzats","Castillo de los Tres Reyes del Morro.Vista general.Veleros.Entrada bahía","","image","info:eu-repo/semantics/other",""
"Autor desconegut","","Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Districte 1. Ciutat Vella | Josep Carner, Passeig (Barcelona) | Josep Carner, Paseo (Barcelona) | Josep Carner, Boulevard (Barcelona) | Paral·lel, Avinguda (Barcelona) | Paral·lel, Avenida (Barcelona) | Paral·lel, Avenue (Barcelona) | Drassanes, Avinguda (Barcelona) | Drassanes, Avenida (Barcelona) | Drassanes, Avenue (Barcelona)","1880","1880",1880,"Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn006850). Autor desconegut | Data de publicació basada en la data de creació | Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn006850). Unknown author | Issued date based on created date | Archivo depositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn006850). Autor desconocido | Fecha de publicación basada en la fecha de creación","Muralla de Terra. Operaris treballant en l'enderroc de la Muralla per la zona del Baluard del Rei de les Drassanes | Muralla de Tierra. Operarios trabajando en el derribo de la Muralla por la zona del Baluarte del Rey de las Atarazanas","Digitalitzat per l'Arxiu Fotogràfic de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/110285","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Muralles | Enderrocament | City walls | Wrecking | Murallas | Demolición","","fotografies | documents digitalitzats","Enderroc de la Muralla de Terra","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1899 | 1900 | 1901 | 1902","1899",1899,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:2-4527) | Unknow author | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:2-4527) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1899 a 1902. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:2-4527) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1899 a 1902.","El Castell de la Real Fuerza, és la primera de les cinc fortificacions que componen el sistema de Fotificaciones declarat Patrimoni de la Humanitat el 1982. Les seves tasques de construcció van començar el 1578, amb motiu dels atacs constants de corsaris | The Castillo de la Real Fuerza, is the first of the five fortifications that make up the Photographic System declared a World Heritage Site in 1982. Its construction work began in 1578, due to the constant attacks of corsairs and pirates suffered by the p | El Castillo de la Real Fuerza, es la primera de las cinco fortificaciones que componen el sistema de Fotificaciones declarado Patrimonio de la Humanidad en 1982. Sus labores de construcción comenzaron en 1578, con motivo de los ataques constantes de corsa","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114447","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Places | Patrimoni cultural | Monuments | Banderes | Plazas | Cultural heritage | Monuments | Flags | Plazas | Patrimonio cultural | Monumentos | Banderas","","fotografies | documents digitalitzats","Gobierno Interventor.Momento de izado de bandera.","","image","info:eu-repo/semantics/other",""
"Ballell, Frederic","","Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Districte 1. Ciutat Vella","1909","1909",1909,"Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn001115). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original:bcn001115). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original:bcn001115). | Data de publicació basada en la data de creació","Lifted from a barricade during the Tragic Week | Aixecada d'una barricada durant la Setmana Tràgica | Levantada de una barricada durante la Semana Trágica","","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111492","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en","Conflictes socials | Barricades | Setmana Tràgica, Barcelona, 1909 | Social conflicts | Barricades (Military science) | Tragic Week, Barcelona, 1909 | Conflictos sociales | Barricadas | Semana trágica, Barcelona, 1909","","fotografies | documents digitalitzats","Setmana Tràgica","","image","info:eu-repo/semantics/other",""
"Inselin, C","","Barcelona | Barcelona | Barcelona","1725","1725",1725,"Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 18475). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 18475). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 18475). | Data de publicació basada en la data de creació.","Plano de la ciudad de Barcelona y de sus alrededores, así como del fuerte de Montjuïc. Al margen superior izquierdo hay una leyenda que identifica las principales localizaciones de Barcelona, ​​divididas según si pertenecen a la ""ville neuve"" o en la ""ville vieille"". | Plànol de la ciutat de Barcelona i dels seus voltants, així com del fort de Montjuïc. Al marge superior esquerre hi ha una llegenda que identifica les principals localitzacions de Barcelona, dividides segons si pertanyen a la ""ville neuve"" o a la ""ville vieille"". | Map of the city of Barcelona and its surroundings, as well as the fort of Montjuïc. On the upper left margin there is a legend that identifies the main locations of Barcelona, ​​divided according to whether they belong to the ""ville neuve"" or the ""ville vieille"".","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111910","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en","Plànols | Plans | Planos","","fotografies | plànols | documents digitalitzats","Plan de Barcelone, Du Fort de Mont Iouy, Et Leurs Environs; Ville Capit[Al]e de la Catalogne","","image","info:eu-repo/semantics/other",""
