"Tipus ens","Nom ens","Règim jurídic d'aplicació","Escala","Subescala","Categoria","Grup","Subgrup","Temporalitat","Gènere","Nombre"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A2","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A2","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a","","C1","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a","","C1","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a","","C1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a","","C1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Titulat/ada superior","A1","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Titulat/ada superior","A1","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Titulat/ada superior","A1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Titulat/ada superior","A1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Diplomat/ada","A2","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Diplomat/ada","A2","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Diplomat/ada","A2","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Diplomat/ada","A2","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Tècnic/a especialista","C1","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Tècnic/a especialista","C1","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Tècnic/a especialista","C1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Tècnic/a especialista","C1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Auxiliars tècnics","C2","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Auxiliars tècnics","C2","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Auxiliars tècnics","C2","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Auxiliars tècnics","C2","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C1","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C1","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C2","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C2","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C2","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C2","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","E","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","E","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","E","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","E","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A1","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A1","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A2","Fix","H","57"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A2","Fix","D","20"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C1","Fix","H","97"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C1","Fix","D","22"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C2","Fix","H","369"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C2","Fix","D","105"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","E","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","E","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A2","Interí i temporal","H","9"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A2","Interí i temporal","D","11"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C2","Interí i temporal","H","82"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C2","Interí i temporal","D","24"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","E","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","E","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL CONJUNTURAL","","","","Llicenciatura","A1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL CONJUNTURAL","","","","Llicenciatura","A1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL CONJUNTURAL","","","","Diplomatura","A2","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL CONJUNTURAL","","","","Diplomatura","A2","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL CONJUNTURAL","","","","Batxillerat - FP2","C1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL CONJUNTURAL","","","","Batxillerat - FP2","C1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL CONJUNTURAL","","","","Graduat escolar - FP1","C2","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL CONJUNTURAL","","","","Graduat escolar - FP1","C2","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL CONJUNTURAL","","","","Certificat d'escolaritat","E","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL CONJUNTURAL","","","","Certificat d'escolaritat","E","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL CONJUNTURAL","","","","Altres","","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT MUNICIPAL DE PARCS I JARDINS DE BARCELONA","PERSONAL LABORAL CONJUNTURAL","","","","Altres","","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","DIRECTIUS","","","","Directius","","Fix","H","1"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","DIRECTIUS","","","","Directius","","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","A1","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","A1","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","A2","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","A2","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL EVENTUAL"," ","","","De confiança o d'assessorament","C1","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","C1","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","C2","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","C2","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica","","Tècnic/a superior","A1","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica","","Tècnic/a superior","A1","Fix","D","3"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica","","Tècnic/a superior","A1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica","","Tècnic/a superior","A1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió","","Tècnic/a mitjà/na","A2","Fix","H","8"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió","","Tècnic/a mitjà/na","A2","Fix","D","23"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió","","Tècnic/a mitjà/na","A2","Interí i temporal","H","3"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió","","Tècnic/a mitjà/na","A2","Interí i temporal","D","10"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala administrativa","","Administratiu/iva","C1","Fix","H","16"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala administrativa","","Administratiu/iva","C1","Fix","D","44"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala administrativa","","Administratiu/iva","C1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala administrativa","","Administratiu/iva","C1","Interí i temporal","D","1"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala auxiliar","","Auxiliar administratiu/iva","C2","Fix","H","2"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala auxiliar","","Auxiliar administratiu/iva","C2","Fix","D","10"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala auxiliar","","Auxiliar administratiu/iva","C2","Interí i temporal","H","10"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala auxiliar","","Auxiliar administratiu/iva","C2","Interí i temporal","D","14"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala subalterna","","Subaltern/a","E","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala subalterna","","Subaltern/a","E","Fix","D","2"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala subalterna","","Subaltern/a","E","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala subalterna","","Subaltern/a","E","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Titulat/da superior","A1","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Titulat/da superior","A1","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Titulat/da superior","A1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Titulat/da superior","A1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A1","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A1","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A1","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A1","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Tècnic/a de grau mitjà","A2","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Tècnic/a de grau mitjà","A2","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Tècnic/a de grau mitjà","A2","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Tècnic/a de grau mitjà","A2","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A2","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A2","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A2","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A2","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A2","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A2","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A2","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A2","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a","","C1","Fix","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a","","C1","Fix","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a","","C1","Interí i temporal","H",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a","","C1","Interí i temporal","D",""
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Titulat/ada superior","A1","Fix","H","24"
"ENTITATS PÚBLIQUES EMPRESARIALS","INSTITUT DE CULTURA DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Titulat/ada superior","A1","Fix","D","35"
