"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightslicense","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Sector de Manteniment i Serveis","","Barcelona","","","1998-10-23","1998","Presentada al Plenari del Consell Municipal de 23-10-1998","","","application/pdf","2 p.","11361","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84436","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Publicitat. Paper vell","Energia","mesures de govern","","Mesura de govern per a la minimització i reciclatge dels residus generats per la publicitat a les bústies","","text",""
"","Sector de Serveis Personals","","Barcelona","","","2000-07-21","2000","Presentada al Plenari del Consell Municipal de 21-07-2000. Citada a la Gaseta Municipal núm. 27 (10-10-2000)","Digitalitzada pel SEDAC","","application/pdf","1 p.","11402","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/86227","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Navegació a vela","Esport","mesures de govern. documents digitalitzats","","Sortida de The Race, la Regata del Mil·leni, des del Port de Barcelona el 31 de desembre del 2000","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","","","2012-12-13","2012","Presentada al Plenari del Consell Municipal de 13-12-2012. Citada a la Gaseta Municipal núm. 6 (10-02-2013)","","","application/pdf","22 p.","10907","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84723","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Persones grans. Seguretat ciutadana. Seguretat viària i persones grans","Seguretat","mesures de govern","","Mesura de govern per incrementar la seguretat de la gent gran","","text",""
"","Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts","2016","","2016-04-05","2016","Presentada al Consell Plenari del Districte de les Corts de 05-04-2016","","","application/pdf","18 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/100868","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Responsabilitat social. Clubs esportius. Esports. Empreses","Esport","mesures de govern","","Coresponsabilitat social dels grans clubs esportius : mesura de govern","","text",""
"","Àrea d'Economia, Empresa i Ocupació. Districte 6. Gràcia","","Barcelona. Districte 6. Gràcia","","","2014-05-07","2014","Presentada a la Comissió d'Hàbitat Urbà de 07-03-2013","","","application/pdf","57 p.","18196","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84813","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme urbà. Política turística","Turisme","mesures de govern","Pla de Turisme del Districte de Gràcia 2013-2016 (Barcelona). Desconcentració Territorial de l'Activitat Turística 2013-2016 (Barcelona)","Mesura de govern sobre el Pla de Turisme de Gràcia : Gràcia, la Barcelona creativa","","text",""
"","Tinència d'Alcaldia de Drets Socials. Àrea de Drets Socials","","Barcelona","2015. 2016. 2017. 2018","","2015-12-21","2015-11-30","Presentada a la Comissió de Drets Socials, Cultura i Esports de 21-12-2015 per la Sra. Laia Ortiz Castellví (Tinenta d'Alcaldia de Drets Socials). Citada a la Gaseta Municipal núm. 4 (30-01-2016 ), p. 27","","","application/pdf","22 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/86531","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Venda ambulant. Integració social","Societat i benestar","mesures de govern","","Estratègia d'inclusió per a persones que exerceixen la venda irregular al carrer de Barcelona : mesura de govern","","text",""
"","Àrea d'Economia, Empresa i Ocupació","","Barcelona","","","2012-12-12","2012","Presentada a la Comissió d'Economia d'Empresa i Ocupació de 12-12-2012. Citada a la Gaseta Municipal núm. 35 (30-12-12)","","","application/pdf","8 p.","10344","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/97080","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Lingüística. Anglès comercial","Cultura i oci","mesures de govern","Pla d'Acció per a la Incorporació de l'Anglès a tots els Àmbits de la Promoció Econòmica de Barcelona 2012-2013","Pla d'acció per a la incorporació de l'anglès a tots els àmbits de la promoció econòmica de Barcelona : mesura de govern","","text",""
"","Regidoria de Dona i Drets Civils. Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2012. 2013. 2014. 2015","","2012-10-26","2012","Presentada al Plenari del Consell Municipal de 26-10-2012. Citada a la Gaseta Municipal núm. 1 (10-01-2013)","","","application/pdf","91 p.","9987","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84743","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Igualtat entre els sexes","Societat i benestar","mesures de govern","","Pla Municipal per a la igualtat d'oportunitats real i efectiva entre dones i home 2012-2015 : mesura de govern","","text",""
"","Àrea d'Economia, Empresa i Ocupació. Districte 2. Eixample","","Barcelona. Districte 2. Eixample","","","2013-10-15","2013","Presentada al Consell Plenari del Districte de l'Eixample de 15-10-2013","","","application/pdf","5 p.","18077","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84789","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Desenvolupament econòmic. Empreses","Economia","mesures de govern","","Creació de l'Oficina de Promoció Econòmica de l'Eixample : mesura de govern","","text",""
"","Sector de Via Pública. Regidoria de Mobilitat i Seguretat","","Barcelona","","","1998-02-27","1998","Presentada al Plenari del Consell Municipal de 27-02-1998","","","application/pdf","3 p.","11324","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84468","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Activitats culturals. Transport públic","Cultura i oci","mesures de govern","","Presència de les commemoracions del transport públic a les activitats culturals de la ciutat : mesura de govern","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","","","2012-07-16","2012","Presentada a la Comissió de Seguretat i Mobilitat de 16-07-2012. Citada a la Gaseta Municipal núm. 27 (10-10-2012)","","","application/pdf","10 p.","11233","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84733","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Béns immobles","Habitatge","mesures de govern","Pla de Prevenció de les Ocupacions Il·legals d'Immobles 2012-2015 (Barcelona)","Pla de prevenció de les ocupacions il·legals d'immobles : mesura de govern","","text",""
"","Regidoria de Dona i Drets Civils. Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2011. 2012","","2011-10-28","2011","Presentada al Plenari del Consell Municipal de 28-10-2011. Citada a la Gaseta Municipal núm. 32 (10-12-2011). Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/86262. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/86263","","","application/pdf","26 p.","10871","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84745","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/86262. http://hdl.handle.net/11703/86262. http://hdl.handle.net/11703/86263","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Prostitució. Tràfic de persones","Societat i benestar","mesures de govern","Pla per a l'Abordatge Integral del Treball Sexual (Barcelona)","Actuacions de millora i nou impuls a l'Agència per a l'Abordatge Integral de Treball Sexual : mesura de govern","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Institut Municipal de Persones amb Discapacitat (Barcelona)","","Barcelona","","","2014-09-16","2014","Presentada a la Comissió de Qualitat de Vida, Joventut i Esports de 16-09-2014. Citada a la Gaseta Municipal núm. 30 (10-11-2014)","","","application/pdf","12 p.","14078orig. 14078","","","organismes autònoms","","Mandat 2011-2015","http://hdl.handle.net/11703/86279","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Autobusos. Informació","Transport","mesures de govern","","Mesura de govern per a la millora dels sistemes d'informació a l'usuari i els punts d'informació a l'usuari en la xarxa d'autobusos de Barcelona","","text",""
"","Sector de Serveis Personals. Regidoria de Relacions Ciutadanes i Culturals","","Barcelona","","","1998-05-22","1998","Presentada al Plenari del Consell Municipal de 22-05-1998","","","application/pdf","2 p.","11339","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84479","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Buigas, Carlos","Cultura i oci","mesures de govern","","Commemoració del centenari del naixement de Carles Buïgas i Sans : mesura de govern","","text",""
"","Àrea d'Economia, Empresa i Ocupació","","Barcelona","","","2011-09-21","2011","Presentada a la Comissió d'Economia, Empresa i Ocupació de 21-09-2011","","","application/pdf","15 p.","8243","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/42950","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica. Barcelona Creixement","Economia","mesures de govern","","Barcelona Creixement : mesures per a l'impuls econòmic : mesura de govern","","text",""
"","Àrea de Drets de Ciutadania, Participació i Transparència","","Barcelona","","","2015-12-29","2015","Presentada al Plenari del Consell Municipal de 29-12-2015. Podeu consultar la nota de premsa Barcelona crea l’Oficina per la Transparència i les Bones Pràctiques a: http://hdl.handle.net/11703/84311","","","application/pdf","11 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/104943","cat","","http://hdl.handle.net/11703/84311","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Oficina de Transparència i Bones Pràctiques. Transparència política. Informació pública. Participació ciutadana","Sector públic","mesures de govern","","Mesura de govern per a la creació de l'Oficina per a la Transparència i les Bones Pràctiques","","text",""
"","Sector de Serveis Personals","","Barcelona","","","2005-10-14","2005","Presentada al Plenari del Consell Municipal de 14-10-2005. Citada a la Gaseta Municipal núm. 34 (20-12-2005)","","","application/pdf","6 p.","13476","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84544","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Indústria audiovisual","Economia","mesures de govern","","Barcelona, un plató audiovisual : mesura de govern","","text",""
"","Sector de Serveis Personals","","Barcelona","","","2000-10-27","2000","Presentada al Plenari del Consell Municipal de 27-10-2000. Citada a la Gaseta Municipal núm. 35 (30-12-2000)","","","application/pdf","17 p.","11406","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84842","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Circulació urbana. Bicicletes","Transport","mesures de govern","","Xarxa bàsica de la bicicleta : mesura de govern","","text",""
"","Sector de Serveis Personals. Regidoria de Dona i Drets Civils","","Barcelona","2005. 2006. 2007. 2008. 2009","","2006-03-24","2006","Presentada al Plenari del Consell Municipal de 24-03-2006. Citada a la Gaseta Municipal núm. 16 (30-05-2006)","Digitalitzada pel SEDAC","","application/pdf","8 p.","13485","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/86268","cat","Ajuntament de Barcelona","","","","","","http://hdl.handle.net/11703/84940. http://hdl.handle.net/11703/84942","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dones","Societat i benestar","mesures de govern. documents digitalitzats","Pla Municipal per a les Dones 2005-2009 (Barcelona)","Pla Municipal per a les dones, 2005-2009: mesura de govern","","text",""
"","Àrea de Drets de Ciutadania, Participació i Transparència","","Barcelona","2017. 2018. 2019","","2016-07-01","2016","Presentada al Plenari del Consell Municipal de 01-07-2016. Citada a la Gaseta Municipal de Barcelona, núm. 23 (10-09-2016), p. 4817-4821","","","application/pdf","18 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/97857","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets humans. Drets civils. Política pública","Societat i benestar. Sector públic","mesures de govern. plans estratègics","Programa Barcelona Ciutat de Drets 2016-2019","Programa Barcelona Ciutat de Drets:  mesura de govern","Accions de prevenció i garantia de drets de ciutadania i accions per incloure l'enfocament de drets humans a les polítiques públiques","text",""
"","Àrea d'Habitatge, Urbanisme i Règim Interior","","Barcelona. Districte 10. Sant Martí","","","2008-05-30","2008","Presentada al Plenari del Consell Municipal de 30-05-2008","","","application/pdf","","10863","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84625","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rehabilitació urbana","Urbanisme i infraestructures","mesures de govern","","Projecte Besòs. Barcelonès Nord : mesura de govern","","text",""
"","Institut de Cultura de Barcelona","","Barcelona","","","2007-12-21","2007-12-21","Presentada al Plenari del Consell Municipal de 21-12-2007","","","application/pdf","7 p.","13405","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/99018","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Institut de Cultura de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments culturals. Centre de Cultura Contemporània de Barcelona. Consorci del Museu d'Art Contemporani de Barcelona. Fundació Museu Picasso de Barcelona. Fundació Teatre Lliure - Teatre Públic de Barcelona. Fundació Privada Antoni Tàpies","Cultura i oci","mesures de govern. documents digitalitzats","","Reforma i ampliació de grans equipaments culturals a Barcelona : mesura de govern","","text",""
"","Sector de Serveis Generals","","Barcelona","","","1998-03-27","1998","Presentada al Plenari del Consell Municipal de 27-03-1998","","","application/pdf","11 p.","11329","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84450","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política pública. Municipis","Sector públic","mesures de govern","","34è. congrés mundial del IULA : mesura de govern","Congrés Mundial del IULA (34è : 1999 : Barcelona )","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona","","","2012-12-11","2012","Presentada a la Comissió de Cultura, Coneixement, Creativitat i Innovació de 11-12-2012. Citada a la Gaseta Municipal núm. 6 (10-02-2013)","","","application/pdf","12 p.","10580","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84677","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Canòdrom Meridiana (Barcelona)","Cultura i oci","mesures de govern","","El Canòdrom : un espai per a promoure el talent creatiu i la innovació de la ciutat : mesura de govern","","text",""
"","Àrea de Medi Ambient","","Barcelona","","","2009-12-09","2009","Presentada a la Comissió de Sostenibilitat, Serveis Urbans i Medi Ambient de 09-12-2009. Citada a la Gaseta Municipal núm. 5 (10-02-2010)","","","application/pdf","27 p.","11091","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84655","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Energia. Edificis públics. Estalvi d'energia","Energia","mesures de govern","","Mesura de govern d'estalvi i eficiència energètica a les instal·lacions municipals","","text",""
"","Àrea de Benestar i Cohesió Territorial","","Barcelona","","","2009-09-15","2009","Presentada a la Comissió de Cultura, Educació i Benestar Social del Consell Municipal de 15-09-2009. Citada a la Gaseta Municipal núm. 28 (30-10-2009)","","","application/pdf","6 p.","11088","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84604","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ciudades y Gobiernos Locales Unidos. Política cultural. Cooperació internacional. Multiculturalisme","Societat i benestar","mesures de govern","","Convocatòria de subvencions a ciutats i governs locals membres de la CGLU (Ciutats i Governs Locals Units) d'Àfrica, Iberoamèrica i la Mediterrània per a projectes de cooperació cultural internacional en el marc de l'Agenda 21 de la cultura : mesura de govern","","text",""
"","Àrea d'Urbanisme, Infraestructures, Habitatge, Medi Ambient i Sistemes d'Informació i Telecomunicacions","","Barcelona","","","2014-10-31","2014","Presentada al Plenari del Consell Municipal  de 31-10-2014","","","application/pdf","21 p.","15829","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84721","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Internet sense fil. Espais públics. Tecnologia de la informació","Ciència i tecnologia","mesures de govern","","Desplegament del servei Wifi a l'espai públic : mesura de govern","","text",""
"","Àrea de Medi Ambient","","Barcelona","","","2007-10-19","2007","Presentada al Plenari del Consell Municipal de 19-10-2007","","","application/pdf","13 p.","10868","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84649","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Canvis climàtics. Desenvolupament sostenible. Medi ambient. Centrals d'energia","Medi ambient","mesures de govern","","Central de generació d'energies de Barcelona - Sud : mesura de govern","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","2015. 2016. 2017. 2018","","2015-11-27","2015","Presentada al Plenari del Consell Municipal de 27-11-2015","","","application/pdf","238 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/84218","cat","","","","","","","","","","","","","","CC-BY","openAccess","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Mobilitat. Desplaçaments en bicicleta. Circulació urbana. Vies ciclistes","Transport","mesures de govern. plans estratègics","Pla de Mobilitat Urbana de Barcelona 2013-2018","Estratègia de la bicicleta per Barcelona : mesura de govern","","text",""
"","Sector de Serveis Personals","","Barcelona","","","1995-10-31","1998","Presentada al Plenari del Consell Municipal de 22-05-1998","","","application/pdf","4 p.","11336","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84451","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ocupació","Ocupació","mesures de govern","","Conveni entre l'Ajuntament i la Generalitat per la gestió de polítiques actives d'ocupació : mesura de govern","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","2015","","2015-09-22","2015","Presentada a la Comissió d'Ecologia, Urbanisme i Mobilitat de 22-09-2015","","","application/pdf","16 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/83943","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Mobilitat. Desenvolupament sostenible","Transport","mesures de govern","","Setmana de la Mobilitat Sostenible i Segura : mesura de govern","","text",""
"","Àrea d'Acció Social i Ciutadania","","Barcelona","","","2010-11-05","2010","Presentada a la Comissió de Presidència, Territori i Funció Pública de 01-12-2010. Citada a la Gaseta Municipal núm. 5 (10-02-2011)","","","application/pdf","20 p.","10899","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84592","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Informació pública. Dades obertes. Administració electrònica","Sector públic","mesures de govern","","Mesura de goven sobre el procés d'obertura de dades públiques (OPEN DATA)","","text",""
"","Àrea d'Hisenda i Promoció Econòmica","","Barcelona","2008. 2009. 2010. 2011","","2008-04-18","2008","Presentada al Plenari del Consell Municipal de 18-04-2008. Citada a la Gaseta Municipal núm. 19 (20-06-2008)","","","application/pdf","20 p.","13421","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84645","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Emprenedoria. Empreses","Economia","mesures de govern","Pla d'Acció per a l'Impuls a la Creació i al Creixement d'Empreses a Barcelona 2008-2011","Pla d'acció per a l'impuls a la creació i al creixement d'empreses a Barcelona, 2008-2011 : mesura de govern","","text",""
"","Sector de Serveis Personals","","Barcelona","","","2005-11-18","2005","Presentada al Plenari del Consell Municipal de 18-11-2005. Citada a la Gaseta Municipal núm. 4 (30-01-2006)","","","application/pdf","2 p.","13478","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84545","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Nadal. Serveis públics","Sector públic","mesures de govern","","Mesura de govern sobre la campanya de Nadal i els serveis públics","","text",""
"","Districte 7. Horta-Guinardó","","Barcelona. Districte 7. Horta-Guinardó","2016. 2017. 2018. 2019","","2016-12-01","2016-12-01","Presentada al Consell Plenari del Districte d'Horta-Guinardó de 01-12-2016","","","application/pdf","32 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/102296","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política econòmica. Política ambiental. Política pública","Sector públic","mesures de govern. plans estratègics","Programa d'Actuació del Districte d'Horta-Guinardó (PAD) 2016-2019 (Barcelona). Programa d'Actuació Municipal (PAM) 2016-2019 (Barcelona)","Mesura de Govern de les Línies d'Actuació del Districte d'Horta-Guinardó 2016-2019","","text",""
"","Àrea d'Acció Social i Ciutadania","","Barcelona","2009. 2010","","2010-11-30","2010","Presentada a la Comissió d'Acció Social i Ciutadania de 30-11-2010. Citada a la Gaseta Municipal núm. 5 (10-02-2011 )","","Annex: Pla Funcional Casals i Ludoteques","application/pdf","64 p.","","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/96308","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ludoteques. Casals de joves","Societat i benestar","mesures de govern","","Nou model de casals i ludoteques infantils públiques : mesura de govern","","text",""
"","Sector de Manteniment i Serveis","","Barcelona","","","1999-11-12","1999","Presentada al Plenari del Consell Municipal de 11-11-1999. Citada a la Gaseta Municipal núm. 2 (20-01-2000)","","","application/pdf","5 p.","11389","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84833","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ecologia urbana. Nadal","Medi ambient","mesures de govern","","Campanya de sensibilització ciutadana : per un Nadal ecològic : mesura de govern [1999]","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","","","2012-01-17","2012","Presentada a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports de 17-01-2012. Citada a la Gaseta Municipal núm. 7 (29-02-2012)","","","application/pdf","20 p.","10364","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84753","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cooperació cultural","Cultura i oci","mesures de govern","","Balanç i noves propostes d'acords de col·laboració entre Biblioteques de Barcelona (BB) i l'Àrea de Qualitat de Vida, Igualtat i Esports : mesura de govern","","text",""
"","Sector de Serveis Personals. Regidoria de Joventut","","Barcelona","","","2007-02-02","2007","Presentada al Plenari del Consell Municipal de 02-02-2007. Citada a la Gaseta Municipal núm. 9 (20-03-2007)","","","application/pdf","2 p.","13371","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84564","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Joves. Habitatge","Habitatge","mesures de govern","","Implantació del Servei d'Habitatge Jove : mesura de govern","","text",""
"","Sector de Manteniment i Serveis","","Barcelona","2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009. 2010","","2002-02-15","2002","Presentada al Plenari del Consell Municipal de 15-02-2001. Citada a la Gaseta Municipal núm. 13 (30-04-2002)","","","application/pdf","37 p.","13489","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/96304","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/84929","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arquitectura i estalvi d'energia. Consum d'energia. Política energètica","Energia","mesures de govern. plans estratègics","Pla de Millora Energètica de Barcelona 2002-2010","Pla de millora energètica de Barcelona : resum : mesura de govern","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona","2013","","2013-05-28","2013","Presentada al Plenari del Consell Municipal de 28-05-2013. Citada a la Gaseta Municipal núm. 23 (30-07-2013)","","","application/pdf","14 p.","11543","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84684","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació secundària obligatòria. Rendiment escolar. Aprenentatge","Educació","mesures de govern","Pla de Suport a l'Alumnat d'ESO 2013 (Barcelona)","Pla de suport a l'alumnat d'ESO : suport a l'estiu, èxit al setembre : juliol-setembre 2013 : mesura de govern","","text",""
"","Àrea de Prevenció, Seguretat i Mobilitat","","Barcelona","","","2007-12-21","2007","Presentada al Plenari del Consell Municipal de 21-12-2007. Citada a la Gaseta Municipal núm. 6 (20-02-2008)","","","application/pdf","15 p.","13406","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84644","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Subvencions","Sector públic","mesures de govern. documents digitalitzats","","Prestacions en benefici de la comunitat a Barcelona : mesura de govern","","text",""
