"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 28"
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-10-11","2006","","application/pdf","3 p.",16888.0,"Núm. Exp. 50/6","consells","","http://hdl.handle.net/11703/87280","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Sancions econòmiques","Hisenda","dictàmens","","Terceria de domini. Improcedència de reclamar les despeses de l'anotació del embargament al tercerista (50/6)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-04-25","2007","","application/pdf","10 p.",16672.0,"Núm. Exp. 406/6","consells","","http://hdl.handle.net/11703/87263","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable","Hisenda","dictàmens","","Cost real i efectiu de l'obra. Partides incloses (406/6)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2008-03-03","2008","","application/pdf","17 p.",16671.0,"Núm. Exp. 35/7","consells","","http://hdl.handle.net/11703/87238","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Estimació de la base imposable","Hisenda","dictàmens","","Cost real i efectiu de l'obra. Partides incloses (35/7)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2003-05-14","2003","","application/pdf","6 p.",17005.0,"Núm. Exp. 295/2","consells","","http://hdl.handle.net/11703/87229","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Impostos sobre activitats econòmiques","Hisenda","dictàmens","","Identificació del receptor. Signatura reduïda respecte a la obrant en el DNI (295/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2012-05-14","2012","","application/pdf","3 p.",16989.0,"Núm. Exp. 377/10","consells","","http://hdl.handle.net/11703/87251","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Notificació (Dret). Impostos locals","Hisenda","dictàmens","","Obligació de comunicar el canvi de domicili (377/10)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-03-07","2007","","application/pdf","4 p.",16758.0,"Núm. Exp. 354/6","consells","","http://hdl.handle.net/11703/87239","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Deduccions fiscals","Hisenda","dictàmens","","Habitatge habitual del causant (354/6)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-11-10","2007","","application/pdf","6 p.",16765.0,"Núm. Exp. 344/7. Impost sobre l'increment de valor dels terrenys de naturalesa urbana - Exempcions","consells","","http://hdl.handle.net/11703/87236","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Exempció d'impostos","Hisenda","dictàmens","","Entitat de la Generalitat anàloga a les entitats públiques empresarials (344/7)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-06-17","2002","","application/pdf","8 p.",16526.0,"Núm. Exp. 740/1","consells","","http://hdl.handle.net/11703/87324","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques","Hisenda","dictàmens","","Qualificació de l'activitat. Agència de valors (740/1)","","text",""
"Sindicatura de Greuges de Barcelona","","","2016-12-30","2017-03-15","","application/pdf","3 p.","","Núm. Exp.: 16OF000003-PA","","","http://hdl.handle.net/11703/101447","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Habitatge públic. Política de l'habitatge. Dret a l'habitatge. Reclamacions. Habitatge","","dictàmens","","Decisió de la Sindica de Greuges sobre l'actuació d'Ofici Núm. 16O003 referent al reglament per a l'adjudicació d'habitatges d'emergència social a Barcelona","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-10-02","2002","","application/pdf","11 p.",16509.0,"Núm. Exp. 410/1","consells","","http://hdl.handle.net/11703/87264","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Exempció d'impostos","Hisenda","dictàmens","","Llei 30/1994. Moviment scout catòlic (410/1)","","text",""
"Sindicatura de Greuges de Barcelona","Barcelona. Parc Güell (Barcelona)","","2013-09-20","2013","","application/pdf","16 p.",17060.0,"","","","http://hdl.handle.net/11703/89047","cat","Sindicatura de Greuges de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Parcs","Medi ambient","dictàmens","","Decisió de la Síndica de Greuges en la investigació d'ofici endegada arran de manifestacions de diferents persones i grups veïnals en matèria de Patrimoni Històric Artístic Monumental i Participació Ciutadana (ParK Güell)","Proposta de regulació d'accés al Parc Güell","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2005-03-07","2005","","application/pdf","3 p.",16862.0,"Núm. Exp. 88/5","consells","","http://hdl.handle.net/11703/87345","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Procediment administratiu. Impostos locals","Hisenda","dictàmens","","Legitimació. Consultes (88/5)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2016-03-02","2016-05","","application/pdf","7 p.","","Ref. 407/15","consells","","http://hdl.handle.net/11703/97245","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals","Hisenda","dictàmens","","Gestió de l'impost sobre activitats econòmiques: Delegació","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2012-02-27","2012","","application/pdf","1 p.",16531.0,"Núm. Exp. 88/11","consells","","http://hdl.handle.net/11703/87344","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Estimació de la base imposable","Hisenda","dictàmens","","Qualificació de l'activitat. Coure pa (88/11)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2011","2010","2010","","application/pdf","13 p.",11485.0,"","consells","","http://hdl.handle.net/11703/87143","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política fiscal","Sector públic. Hisenda","dictàmens. ordenances fiscals","","Dictamen sobre les Ordenances fiscals 2011","","text",""
"Sindicatura de Greuges de Barcelona","","","2015-12-30","2016-02-10","","application/pdf","10 p.","","Exp. 15 Q000907-FR","","","http://hdl.handle.net/11703/88145","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Serveis funeraris","Sector públic","dictàmens","","Decisió de la síndica de greuges referent a la queixa presentada en matèria d'atenció al consumidor i usuari","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2001-02-07","2001","","application/pdf","10 p.",16597.0,"Núm. Exp. 293/00","consells","","http://hdl.handle.net/11703/87228","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Exempció d'impostos","Hisenda","dictàmens","","Béns municipals afectes a l'ús o servei públic. Concessió d'aparcament (293/00)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-07-31","2002","","application/pdf","5 p.",16483.0,"Núm. Exp. 92/1","consells","","http://hdl.handle.net/11703/87349","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Exempció d'impostos. Deduccions fiscals. Impostos immobiliaris","Hisenda","dictàmens","","Aplicació de la Llei 30/1994. Establiment d'ensenyança propietat d'una fundació (92/1)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-01-28","2002","","application/pdf","4 p.",1648.0,"Núm. Exp. 39/2","consells","","http://hdl.handle.net/11703/89377","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Estimació de la base imposable. Inspecció fiscal","Hisenda","dictàmens","","Inexistència de superfície (39/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-06-18","2007","","application/pdf","6 p.",16684.0,"Núm. Exp. 79/7","consells","","http://hdl.handle.net/11703/87333","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris","Hisenda","dictàmens","","Obres d'ordenació del territori (79/7)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2009-05-27","2009","","application/pdf","3 p.",16943.0,"Núm. Exp. 73/8","consells","","http://hdl.handle.net/11703/87322","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Espais públics","Hisenda","dictàmens","","Taxes per utilització privativa del domini públic municipal. Subjecte passiu (73/8)","","text",""
"Consell Tributari Municipal (Barcelona)","","","2016-01","2016-03","","application/pdf","4 p.","","Ref. 459/15","consells","","http://hdl.handle.net/11703/88480","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Hisenda","dictàmens","","Les autoliquidacions no poden ser realitzades per l'Ajuntament","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2008-06-09","2008","","application/pdf","5 p.",16504.0,"Núm. Exp. 246/7","consells","","http://hdl.handle.net/11703/87210","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Exempció d'impostos","Hisenda","dictàmens","","Inici d'activitat (246/7)","","text",""
"Consell Tributari Municipal (Barcelona)","","","2017-07-13","2017-09","","application/pdf","27 p.","","Ref. 216/17","consells","","http://hdl.handle.net/11703/105299","cat","","","Sentencia 59/2017. Impuesto sobre el incremento del valor de los terrenos de naturaleza urbana, en la medida que someten a tributación situaciones de inexistencia de incrementos de valor","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Impostos de plusvàlua. Sentències","Hisenda","dictàmens","","Informe sobre els efectes de la Sentència del Tribunal Constitucional 59/2017, d'11 de maig, en relació amb l'Impost sobre l'increment de valor dels terrenys de naturalesa urbana (216/17)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2005-04-25","2005","","application/pdf","3 p.",16828.0,"Núm. Exp. 413/3","consells","","http://hdl.handle.net/11703/87266","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vehicles. Impostos locals. Procediment administratiu. Reclamacions","Hisenda","dictàmens","","Pagament de l'impost com a requisit per a la realització d'altres tràmits (413/3)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-09-12","2007","","application/pdf","5 p.",16605.0,"Núm. Exp. 367/6","consells","","http://hdl.handle.net/11703/87243","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Exempció d'impostos","Hisenda","dictàmens","","Entitats sense ànim de lucre. Llei 49/2002 (367/6)","","text",""
"Consell Tributari Municipal (Barcelona). Consell Tributari Municipal (Barcelona)","","","2016-05","2016-06","","application/pdf. application/pdf","3 p.. 4 p.","","Núm. Exp. 140/16. Núm. Exp. 140/16","consells","","http://hdl.handle.net/11703/97520","cat. cat","Consell Tributari Municipal (Barcelona)","","","Domini públic. Domini públic","openAccess. openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca. http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Fiances. Restitució (Dret). Pagament","Hisenda. Hisenda","dictàmens","","Devolució aval: import. Devolució aval: import","","text. text",""
"Sindicatura de Greuges de Barcelona","Barceloneta (Barcelona : Barri). Barcelona. Districte 1. Ciutat Vella","","2016-03-30","2016-05-02","","application/pdf","6 p.","","Exp. 15Q001302-FR","","","http://hdl.handle.net/11703/97216","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Turisme urbà. Habitatges. Llicències (Negocis)","Turisme","dictàmens","","Decisió de la Síndica de Greuges referent a la queixa en matèria de llicències d'activitat econòmica","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2014-07-02","2014","","application/pdf","4 p.",16621.0,"Núm. Exp. 359/13","consells","","http://hdl.handle.net/11703/87240","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris","Hisenda","dictàmens","","Dret de tempteig: la transmissió es produeix en la data de l'escriptura (359/13)","","text",""
"Consell de Ciutat de Barcelona","Diagonal, Avinguda (Barcelona)","","2010","2010","","application/pdf","6 p.",5081.0,"","consells","","http://hdl.handle.net/11703/87373","cat","Consell de Ciutat de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Participació ciutadana","Urbanisme i infraestructures","dictàmens","","El Consell de Ciutat de Barcelona i la transformació urbanística de l'avinguda Diagonal : valoracions i aportacions al procés participatiu : proposta de dictamen, tercera fase, aprovat a la Sessió Plenària de 25 de març de 2010","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2004-01-26","2004","","application/pdf","4 p.",16774.0,"Núm. Exp. 375/3. Impost sobre l'increment de valor dels terrenys de naturalesa urbana - Exempcions","consells","","http://hdl.handle.net/11703/87249","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Exempció d'impostos. Deduccions fiscals","Hisenda","dictàmens","","Pacte entre obligats tributaris i tercers per al pagament del tribut (375/3)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2009","2009","2009","","application/pdf","22 p.",17617.0,"","consells","","http://hdl.handle.net/11703/87131","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Pressupostos municipals","Sector públic. Economia","dictàmens. pressupostos","","Dictamen sobre els pressupostos generals de l'Ajuntament de Barcelona 2009","","text",""
"Consell de Ciutat de Barcelona","Barcelona","2011","2011","2011","","application/pdf","10 p.",9440.0,"","consells","","http://hdl.handle.net/11703/87378","cat","Consell de Ciutat de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals","Hisenda","dictàmens","","Dictamen dels Pressupostos i ordenances fiscals 2011","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2004","2004","2004","","application/pdf","28 p.",17625.0,"","consells","","http://hdl.handle.net/11703/87127","cat","Consell Econòmic i Social de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals","Sector públic. Economia","dictàmens. pressupostos","","Dictamen sobre els pressupostos generals 2004","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2009-07-27","2009","","application/pdf","4 p.",16602.0,"Núm. Exp. 279/8","consells","","http://hdl.handle.net/11703/87224","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Exempció d'impostos","Hisenda","dictàmens","","Entitats sense fins lucratius. Llei 49/2002 (279/8)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2001","2001","2001","","application/pdf","6 p.",17629.0,"","consells","","http://hdl.handle.net/11703/87124","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Pressupostos municipals","Sector públic. Economia","dictàmens. pressupostos","","Dictamen sobre els pressupostos generals 2001","","text",""
"Sindicatura de Greuges de Barcelona","","","2017-05-15","2017-05-29","","application/pdf","6 p.","","Núm. Exp. 15OF000031-AB","","Mandat 2015-","http://hdl.handle.net/11703/102416","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics. Ocupació. Seguretat pública","Urbanisme i infraestructures","dictàmens","","Decisió de la Síndica de Greuges en l'actuació d'ofici sobre l'ús de l'espai públic en la realització de mudances","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2013-02-28","2013","","application/pdf","3 p.",16817.0,"Núm. Exp. 156/12","consells","","http://hdl.handle.net/11703/87181","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vehicles de motor. Impostos locals. Exempció d'impostos","Hisenda","dictàmens","","Vehicles de Correus: Improcedència (156/12)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2009-12-09","2009","","application/pdf","4 p.",16655.0,"Núm. Exp. 85/9","consells","","http://hdl.handle.net/11703/87342","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable","Hisenda","dictàmens","","Impost sobre construccions, instal·lacions i obres. Cost real i efectiu de l'obra. Costos no especificats (85/9)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2014-06-18","2014","","application/pdf","3 p.",16915.0,"Núm. Exp. 263/13","consells","","http://hdl.handle.net/11703/87217","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Procediment administratiu. Impostos locals","Hisenda","dictàmens","","Recurs nou: No és un complement de recurs sinó un nou recurs extemporàni (263/13)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2012-12-17","2012","","application/pdf","4 p.",16974.0,"Núm. Exp. 109/12","consells","","http://hdl.handle.net/11703/87160","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Sancions econòmiques","Hisenda","dictàmens","","Càlcul des del dia següent a la finalització del període voluntari (109/12)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2004-01-07","2004","","application/pdf","4 p.",16525.0,"Núm. Exp. 364/3","consells","","http://hdl.handle.net/11703/87242","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques","Hisenda","dictàmens","","Epígraf en l'autoliquidació de l'IAE (364/3)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2004-02-02","2004","","application/pdf","4 p.",16533.0,"Núm. Exp. 391/3","consells","","http://hdl.handle.net/11703/87258","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques","Hisenda","dictàmens","","Canvi de domicili fiscal i de domicili de l'activitat (391/3)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","1994-10-03","1994","","application/pdf","4 p.",16830.0,"Núm. Exp. 765/94","consells","","http://hdl.handle.net/11703/87328","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics. Impostos locals. Guals","Hisenda","dictàmens. preus públics","","Canvi del sentit de circulació del carrer (765/94)","","text",""
"Sindicatura de Greuges de Barcelona","","2016. 2017","2017-07-04","2017-07-13","","application/pdf","6 p.","","Núm. Exp.: 16Q000911","","Mandat 2015-","http://hdl.handle.net/11703/105075","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Reclamacions. Institut de Cultura de Barcelona. Festes de la Mercè (Barcelona). Missa","Cultura i oci","dictàmens","","Decisió de la Síndica de Greuges referent a una queixa presentada en matèria de cultura","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-05-28","2007","","application/pdf","3 p.",16510.0,"Núm. Exp. 49/7","consells","","http://hdl.handle.net/11703/87278","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Exempció d'impostos","Hisenda","dictàmens","","Obrir document PDFSocietat mercantil gestora de serveis públics (49/7)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2014-03-17","2014","","application/pdf","3 p.",16717.0,"Núm. Exp. 378-13","consells","","http://hdl.handle.net/11703/87252","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","No es presenta en dissoldre la comunitat, encara amb excès d'adjudicació (378/13)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2012-01-18","2012","","application/pdf","9 p.",16674.0,"Núm. Exp. 662/5","consells","","http://hdl.handle.net/11703/87189","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Estimació de la base imposable","Hisenda","dictàmens","","Impost sobre construccions, instal·lacions i obres. Cost real i efectiu de l'obra. Partides incloses (662/5)","","text",""
"Sindicatura de Greuges de Barcelona","","2016. 2017","2017-06-30","2017-07-13","","application/pdf","3 p.","","Núm. Exp. 16Q000879","","","http://hdl.handle.net/11703/105074","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Reclamacions. Civisme. Espais públics","Societat i benestar","dictàmens","","Decisió de la Síndica de Greuges referent a una queixa presentada en matèria de mediació i convivència","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2012-01-23","2012","","application/pdf","6 p.",16699.0,"Núm. Exp. 38/11","consells","","http://hdl.handle.net/11703/87253","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Acceptació d'herència i divisió en la mateixa escriptura (38/11)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2009-03-23","2009","","application/pdf","6 p.",16803.0,"Núm. Exp. 367/7","consells","","http://hdl.handle.net/11703/87244","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Desafectació de l'habitatge del porter com element comú de l'immoble (367/7)","","text",""
"Sindicatura de Greuges de Barcelona","Barcelona","","2012-12-28","2012","","application/pdf","12 p.",17065.0,"","","","http://hdl.handle.net/11703/87109","cat","Sindicatura de Greuges de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Serveis públics. Preus. Bicicletes","Transport","dictàmens","","Decisió de la Síndica de Greuges referent a la intervenció d'ofici iniciada arran de les queixes presentades pel projecte municipal d'augmentar la tarifa del servei del Bicing","","text",""
"Sindicatura de Greuges de Barcelona","","2016. 2017","2017-07-10","2017-07-13","","application/pdf","3 p.","","Núm. Exp. 16Q000642-AB","","","http://hdl.handle.net/11703/105072","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Sancions econòmiques. Reclamacions. Vehicles. Circulació urbana. Aparcaments","Transport","dictàmens","","Decisió de la Síndica de Greuges en relació a una queixa presentada en matèria de trànsit","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2011-11-21","2011","","application/pdf","7 p.",16876.0,"Núm. Exp. 69/11","consells","","http://hdl.handle.net/11703/87313","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Espais públics","Hisenda","dictàmens","","Taxes per utilització privativa del domini públic municipal. Fet imposable. Reserva de parada. Motius no taxats (69/11)","","text",""
"Sindicatura de Greuges de Barcelona","","2017","2017-12-29","2017-12-29","Podeu consultar una nota de premsa sobre aquest tema a: http://hdl.handle.net/11703/107250","application/pdf","16 p.","","","","","http://hdl.handle.net/11703/107249","cat","","http://hdl.handle.net/11703/107250","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Tombes. Ensorrament. Cementiri de Montjuïc (Barcelona). Reclamacions","Societat i benestar","dictàmens","","Decisió de la Síndica de Greuges referent a l'actuació d'ofici arran l'esfondrament d'un bloc de nínxols del Cementiri de Montjuïc : tramitació","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2005-09-14","2005","","application/pdf","5 p.",16673.0,"Núm. Exp. 410/4","consells","","http://hdl.handle.net/11703/87265","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable. Procediment administratiu","Hisenda","dictàmens","","Cost real i efectiu de l'obra. Partides incluibles (410/4)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2003-05-26","2003","","application/pdf","3 p.",16593.0,"Núm. Exp. 775/2","consells","","http://hdl.handle.net/11703/87326","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Exempció d'impostos","Hisenda","dictàmens","","Béns de centres docents concertats. Immoble cedit gratuïtament per una entitat privada (775/2)","","text",""
"Sindicatura de Greuges de Barcelona","Barcelona","","2015-07-16","2016-06-03","","application/pdf","4 p.","","Exp.: 14Q000186-MS","","","http://hdl.handle.net/11703/97392","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Reclamacions. Serveis d'informació a la comunitat","Sector públic","dictàmens","","Decisíó de la síndica de greuges referent a la queixa presentada en matèria d'atenció al públic: sobrecost 010","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-09-18","2006","","application/pdf","3 p.",16880.0,"Núm. Exp. 301/5","consells","","http://hdl.handle.net/11703/87230","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Sancions econòmiques","Hisenda","dictàmens","","Terceria de domini (301/5)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-06-11","2007","","application/pdf","4 p.",16881.0,"Núm. Exp. 542/6","consells","","http://hdl.handle.net/11703/87284","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Sancions econòmiques","Hisenda","dictàmens","","Terceria de domini (542/6)","","text",""
