"Tipus ens","Òrgan contractant","Número de contracte","Tipus de contracte","Objecte contracte","Preu inicial del contracte","Data formalització pròrroga","Preu de la pròrroga","Data inici pròrroga","Data final pròrroga","Número pròrroga"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","12119"," Serveis ","EXP. 78/18 LOT 3: DEPENDENT/A DE CARNICERIA I XARCUTERIA.+ PRORROGA AMB DATA 25/10/2019","16240.80","25/10/2019","14636.54","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11747"," Serveis ","EXP.76/18 ELABORACIÓ DE LA PROPOSTA CONCEPTUAL I GRÀFICA DE LA SÈRIE DE MAPES CONCEPTUALS A PARTIR DESL PRINCIPALS CONCEPTES CLAU, TENDÈNCIES I CONTINGUTS POSATS DE RELLEU ALS ESPAIS DE NETWORKING SECTORIAL. + PRORROGA AMB DATA 17/07/2019","18590.00","17/07/2019","18590.00","12/01/2020","12/01/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","12076"," Serveis ","EXP. 31/19 PER A LA LICITACIÓ DEL CONTRACTE DE SERVEIS D’ASSISTÈNCIA TÈCNICA PER A L’ENFORTIMENT D’INICIATIVES SOCIOEMPRESARIALS AMB ARRELAMENT AL TERRITORI I A LA COMUNITAT EN L’ÀMBIT DE LES CURES. + PRORROGA AMB DATA 28/11/2019","63650.00","28/11/2019","63650.00","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11783"," Serveis ","EXP. 72/18 CONTRACTE DE SERVEIS D’ASSISTÈNCIA TÈCNICA PER A LA IDENTIFICACIÓ I SEGUIMENT DE CONVOCATÒRIES DE FINANÇAMENT EN L’ÀMBIT DE LES POLÍTIQUES SÒCIO-ECONÒMIQUES DE DESENVOLUPAMENT LOCAL I SUPORT EN L’ELABORACIÓ DE PROJECTES. + PRORROGA AMB DATA 24/11/2019","34615.00","24/11/2019","34615.00","04/02/2020","04/02/2021","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","12023"," Serveis ","EXP. 06/19 LOT 1: ACCIONS FORMATIVES EN COMPETÈNCIES TRANSVERSALS PER L’OCUPACIÓ  PER ELS SERVEIS D’IMPARTICIÓ D’ACCIONS DE FORMACIÓ EN COMPETÈNCIES TRANSVERSALS I INSERCIÓ LABORAL, EN EL MARC DELS PROJECTES INTEGRALS AMB CONTRACTACIÓ. + PRORROGA AMB DATA 08/11/2019","10500.00","08/11/2019","10500.00","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","12025"," Serveis ","EXP. 06/19 LOT 3: ACCIONS FORMATIVES EN ACOMPANYAMENT A LA INSERCIÓ LABORAL PER ELS SERVEIS D’IMPARTICIÓ D’ACCIONS DE FORMACIÓ EN COMPETÈNCIES TRANSVERSALS I INSERCIÓ LABORAL, EN EL MARC DELS PROJECTES INTEGRALS AMB CONTRACTACIÓ.+ PRORROGA AMB DATA 08/11/2019","6273.99","08/11/2019","6273.99","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11846"," Serveis ","EXP. 63/18 LOT 6: REPRODUCCIÓ I ARXIU + PRORROGA AMBA DATA 18/10/2019","35784.00","18/10/2019","35784.00","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11845"," Serveis ","EXP. 63/18 LOT 4: NETEJA D'ESPAIS OBERTS. + PRORROGA AMBA DATA 18/10/2019","41041.00","18/10/2019","41041.00","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11843"," Serveis ","EXP. 63/18 LOT 3: TASQUES AUXILIARS D'OBRA. + PRORROGA AMB ADATA 18/10/2019","28080.00","18/10/2019","28080.00","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11842"," Subministraments ","EXP. 63/18 LOT 2: PINTURA I MATERIALS D'IMPRIMACIÓ I PROTECTORS EN CONSTRUCCIÓ.+ PRORROGA AMB DATA18/10/2019","17280.00","18/10/2019","17280.00","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","12117"," Serveis ","EXP. 78/18 LOT 1:  ACTIVITATS AUXILIARS DE MAGATZEM. RESOLUCIÓ D’APROVACIÓ DE L’EXPEDIENT BA 78/18 PER A LA LICITACIÓ DEL CONTRACTE DE SERVEIS DE FORMACIÓ DE LES ACCIONS DE FORMACIÓ ESPECÍFICA I PRÀCTICA PROFESSIONAL DEL PROGRAMA OPERATIU D’OCUPACIÓ, FORMACIÓ I EDUCACIÓ (POEFE) PASSAREL·LES CAP A L’OCUPACIÓ I LA INCLUSIÓ.+ PRORROGA AMB DATA 24/10/2019","10339.35","24/10/2019","10339.50","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11841"," Serveis ","EXP. 63/18 LOT 1: OPERACIONS AUXILIARS DE REPOBLACIÓ, CORRECCIÓ HIDROLÒGICA I DE CONSTRUCCIÓ I MANTENIMENT D’INFRAESTRUCTURES FORESTALS. RESOLUCIÓ D’APROVACIÓ DE L’EXPEDIENT BA63/18 PER A LA LICITACIÓ DEL CONTRACTE DE SERVEIS D’IMPARTICIÓ DE LES ACCIONS DE FORMACIÓ PROFESSIONALITZADORA DEL PROGRAMA TREBALL I FORMACIÓ 2018.+ PRORROGA AMB DATA 24/10/2019","36150.00","24/10/2019","36150.00","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","12122"," Serveis ","EXP. 78/18 LOT 14: GESTIÓ DE TRUCADES DE TELEASSISTÈNCIA + PRORROGA AMB DATA 24/10/2019","16244.35","24/10/2019","16244.35","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","12120"," Serveis ","EXP. 78/18 LOT 4: AJUDANT/A DE PEIXATERIA.+ PRORROGA AMBA DATA 25/10/2019","13055.40","24/10/2019","13055.40","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","12113"," Serveis ","EXP. 78/18 LOT 6: OPERACIONS AUXILIARES DE MUNTATGE D’INSTAL·LACIONS ELECTROTÈCNIQUES I DE TELECOMUNICACIONS EN EDIFICIS. + PRORROGA AMB DATA 25/10/2019","31374.35","24/10/2019","31374.35","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","12115"," Serveis ","EXP. 78/18 LOT 7: OPERACIONS BÀSIQUES DE CUINA.+ PRORROGA AMB DATA 28/10/2019","24585.85","28/10/2019","24585.37","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11790"," Serveis ","EXP. 69/18 CONTRACTE DE SERVEIS D’IMPLEMENTACIÓ, SEGUIMENT I AVALUACIÓ DE LES ACCIONS DEL PROGRAMA MENTORING +40 DIRIGIT A ACOMPANYAR DE MANERA INDIVIDUALITZADA A PERSONES MAJORS DE 40 ANYS AMB DIFICULTATS D’ACCÉS AL MERCAT LABORAL PER REACTIVAR LA SEVA RECERCA DE FEI + PRORROGA AMB DATA 04/10/2019","85040.00","04/10/2019","85040.00","04/02/2020","04/02/2021","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11947"," Serveis ","REALITZACIÓ D'UN CONTRACTE DERIVAT DE L'ACORD MARC DE TELECOMUNICACIONS DE L'AJUNTAMENT DE BARCELONA PER TAL DE MIGRAR, MANTENIR I EXPLOTAR LA XARXA D'ACCÉS A INTERNET.+ PRORROGA AMB DATA 19/07/2019","7434.00","19/07/2019","14868.00","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11868"," Serveis ","EXP. 04/19 LOT 2: SERVEIS DE MANTENIMENT I GESTIÓ DE CONTINGUTS DE LES PANTALLES TÀCTILS SITUADES ALS EDIFICIS DE LA INCUBADORA DE GLÒRIES, ALMOGÀVERS I MEDIATIC. RESOLUCIÓ D’APROVACIÓ DE L’EXPEDIENT BA04/19 PER A LA LICITACIÓ DELS SERVEIS DE MANTENIMENT, GESTIÓ DE CONTINGUTS I ASSISTÈNCIA TÈCNICA EN ESDEVENIMENTS D’INSTAL·LACIONS AUDIOVISUALS DE BARCELONA ACTIVA.+ PRORROGA AMB DATA 24/11/2019","4406.40","24/11/2019","4406.40","06/03/2020","06/03/2021","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11782"," Serveis ","EXP. 62/18 LOT 1: 4 PUNTS D’INFORMACIÓ DE CIUTAT DELS DISTRICTES: HORTA-GUINARDÓ, SANTS-MONTJUÏC, NOU BARRIS I SANT MARTÍ DEL CONTRACTE DE SERVEIS D’INFORMACIÓ I DERIVACIÓ EN OCUPACIÓ I AUTOOCUPACIÓ ALS PUNTS D’INFORMACIÓ DE CIUTAT ALS DISTRICTES. LOT 2: 4 PUNTS D’INFORMACIÓ DE CIUTAT DELS DISTRICTES: CIUTAT VELLA, EIXAMPLE, GRÀCIA I SANTANDREU DEL CONTRACTE DE SERVEIS D’INFORMACIÓ I DERIVACIÓ EN OCUPACIÓ I AUTOOCUPACIÓ ALS PUNTS D’INFORMACIÓDE CIUTAT ALS DISTRICTES RECTIFICACIÓ D'ERROR MATERIAL EN EL DOCUMENT DE FORMALITZACIÓ DEL CONTRACTE AMB DATA 14/02/2019 (INICI DEL CONTRACTE LOT 1 DES DEL 14 DE MARÇ DE 2019)PRORROGA AMB DATA 12/12/2019","205151.00","12/12/2019","205151.00","04/02/2020","13/03/2021","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","12118"," Serveis ","EXP. 78/18 LOT 2: ACTIVITATS AUXILIARS DE COMERÇ.+ PRORROGA AMB DATA 24/10/2019","13069.35","24/10/2019","13069.35","01/01/2020","31/12/2020","1a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","114.1619.072"," Serveis ","Serveis de Project Management del conjunt d'obres que s'estan executant al Castell de Montjuïc, al Districte de Sants - Montjuïc de Barcelona.","36421.00","12/04/2019","15609.00","12/07/2019","11/10/2019","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","201.1619.056"," Serveis ","Serveis d'Assistència Tècnica a la Direcció de Serveis de Mobilitat i a Barcelona d'Infraestructures Municipals - BIMSA - relativa a les actuacions de Carrils Bici.","290109.60","24/10/2019","90459.60","24/10/2019","23/04/2020","2"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","629.2018.005"," Serveis ","Servei de neteja i manteniment integral de les oficines de Barcelona d'Infraestructures Municipals, SA","81553.37","29/11/2019","96040.92","10/12/2019","09/12/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","903.1619.029"," Serveis ","Serveis de suport al departament de Comunicació de Barcelona d'Infraestructures Municipals, SA (BIMSA) per a la gestió dels recursos gràfics i documentals ","37563.24","16/01/2019","1918.52","16/01/2019","04/02/2019","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.041"," Serveis ","Servei de gestió de termini de garanties de les obres d'edificació de Barcelona d'Infraestructures Municipals, SA.","87120.00","16/04/2019","87362.00","17/05/2019","16/05/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.043"," Serveis ","Serveis d'assistència tècnica al Departament de Gestió Territorial de Barcelona d'Infraestructures Municipals, S.A.","287435.50","03/04/2019","287375.00","08/04/2019","07/04/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.043 Opció"," Serveis ","Serveis d'assistència tècnica al Departament de Gestió Territorial de Barcelona d'Infraestructures Municipals, S.A.. Opció","72345.90","03/04/2019","72345.90","08/04/2019","07/04/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.044"," Serveis ","Servei d'assistència Tècnica al Departament de Sistemes Tecnològics i Serveis de Barcelona d'Infraestructures Municipals SA.","307174.84","16/05/2019","307174.84","04/06/2019","03/06/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.052"," Serveis ","Serveis d'assistència tècnica al departament de Comunicació per gestionar la informació al ciutadà i reduir l'impacte de les afectacions de les obres de BIMSA en el seu entorn i garantir la imatge de les obres","167441.14","30/05/2019","83720.57","25/06/2019","24/12/2019","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.054"," Serveis ","SERVEIS RELATIUS A L'ASSESSORAMENT I SUPORT INTEGRAL EN MATÈRIA JURÍDICA I DE CONTRACTACIÓ A LA SOCIETAT BARCELONA D'INFRAESTRUCTURES MUNICIPALS, SA","533562.57","16/09/2019","533562.57","18/07/2019","17/07/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.061"," Serveis ","Serveis d'assistència tècnica presencial per al suport al departament d'administració, assesorament comptable i elaboració dels comptes anuals. ","164543.92","04/12/2019","164543.92","28/11/2019","27/11/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.062"," Serveis ","Servei de gestió de la recepció de la societat Barcelona d'Infraestructures Municipals, SA","57668.60","20/09/2019","57668.60","17/12/2019","16/12/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.066"," Serveis ","Serveis d'assistència tècnica al departament de Control i Qualitat de la Gestió de Barcelona Infraestructures Municipals SA per la implementació i seguiment de les eines de Control de Gestió.","187550.00","12/12/2019","187550.00","15/02/2020","14/02/2021","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.037L01"," Serveis ","Serveis d’assistencia tècnica per al desenvolupament i gestió de criteris tècnics d’especialitat, en les actuacions de BIMSA. ","51792.84","22/03/2019","51792.84","30/04/2019","29/04/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.037L02"," Serveis ","Serveis d’assistencia tècnica per al desenvolupament i gestió de criteris tècnics d’especialitat, en les actuacions de BIMSA. ","63162.00","22/03/2019","63162.00","30/04/2019","29/04/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.037L03"," Serveis ","Serveis d’assistencia tècnica per al desenvolupament i gestió de criteris tècnics d’especialitat, en les actuacions de BIMSA. ","87120.00","22/03/2019","87120.00","16/04/2019","15/04/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.037L04"," Serveis ","Serveis d’assistencia tècnica per al desenvolupament i gestió de criteris tècnics d’especialitat, en les actuacions de BIMSA. ","60403.20","26/03/2019","60403.20","16/04/2019","15/04/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.039L01"," Serveis ","Serveis de coordinador d'obres i dels equips de direcció facultativa de diferents obres del Departament Tècnic d'Edificació i del coordinador d'auditories dels projectes d'Edificació de Barcelona d'Infraestructures Municipals, SA.","98380.26","16/05/2019","98380.26","13/06/2019","12/06/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.039L02"," Serveis ","Serveis de coordinador d'obres i dels equips de direcció facultativa de diferents obres del Departament Tècnic d'Edificació i del coordinador d'auditories dels projectes d'Edificació de Barcelona d'Infraestructures Municipals, SA.","98518.20","16/05/2019","98518.20","13/06/2019","12/06/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.040L01"," Serveis ","Serveis d'assistència tècnica de gestors d'edificació i administratiu d'obra de les actuacions a càrrec de Barcelona d'Infraestructures Municipals, SA per al Departament Tècnic d'Edificació.","73205.00","16/05/2019","73205.00","13/06/2019","12/06/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.040L02"," Serveis ","Serveis d'assistència tècnica de gestors d'edificació i administratiu d'obra de les actuacions a càrrec de Barcelona d'Infraestructures Municipals, SA per al Departament Tècnic d'Edificació.","73326.00","09/07/2019","73326.00","19/06/2019","18/06/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.040L03"," Serveis ","Serveis d'assistència tècnica de gestors d'edificació i administratiu d'obra de les actuacions a càrrec de Barcelona d'Infraestructures Municipals, SA per al Departament Tècnic d'Edificació.","56567.50","09/07/2019","56567.50","18/06/2019","17/06/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.045L01"," Serveis ","Assistència Tècnica a la Gestió d’obres d’Infraestructures, Lot 1: Assistència tècnica a la Direcció del departament, Lot 2: Assistència tècnic a les obres de ciutat i Lot 3: Assistència tècnica a les obres de districtes.","192390.00","16/05/2019","192390.00","15/05/2019","14/05/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.045L02"," Serveis ","Assistència Tècnica a la Gestió d’obres d’Infraestructures, Lot 1: Assistència tècnica a la Direcció del departament, Lot 2: Assistència tècnic a les obres de ciutat i Lot 3: Assistència tècnica a les obres de districtes.","138545.00","09/07/2019","138545.00","15/05/2019","14/05/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.045L03"," Serveis ","Assistència Tècnica a la Gestió d’obres d’Infraestructures, Lot 1: Assistència tècnica a la Direcció del departament, Lot 2: Assistència tècnic a les obres de ciutat i Lot 3: Assistència tècnica a les obres de districtes.","206910.00","17/05/2019","206910.00","14/05/2019","13/05/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.049L01"," Serveis ","Serveis d’assistència tècnica per a la gestió del desenvolupament de projectes del Departament de Gestió de Projectes de Barcelona d'Infraestructures Municipals, SA","205072.35","27/06/2019","205072.35","04/06/2019","03/07/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.049L02"," Serveis ","Serveis d’assistència tècnica per a la gestió del desenvolupament de projectes del Departament de Gestió de Projectes de Barcelona d'Infraestructures Municipals, SA","174201.57","27/06/2019","174201.57","03/09/2019","02/09/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.049L03"," Serveis ","Serveis d’assistència tècnica per a la gestió del desenvolupament de projectes del Departament de Gestió de Projectes de Barcelona d'Infraestructures Municipals, SA","174191.60","27/06/2019","87095.80","06/07/2019","05/01/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.049L04"," Serveis ","Serveis d’assistència tècnica per a la gestió del desenvolupament de projectes del Departament de Gestió de Projectes de Barcelona d'Infraestructures Municipals, SA","153670.00","27/06/2019","153670.00","02/07/2019","01/07/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.051L01"," Serveis ","Serveis relatius a la contractació de les Assistències Tècniques de suport al Departament de Gestió de Projectes de Barcelona d'Infraestructures Municipals, SA","187363.08","30/04/2019","187363.08","02/07/2019","01/07/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA D'INFRAESTRUCTURAS MUNICIPALS, S.A.","999.1619.051L02"," Serveis ","Serveis relatius a la contractació de les Assistències Tècniques de suport al Departament de Gestió de Projectes de Barcelona d'Infraestructures Municipals, SA","203526.28","30/04/2019","203526.28","02/07/2019","01/07/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA REGIONAL, S.A.","56-2017"," Subministraments ","CONTRACTACIÓ DE LLICÈNCIES DE PRODUCTES D’ADOBE","23864.93","17/12/2019","25700.69","22/12/2019","21/12/2020","2a"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA REGIONAL, S.A.","14-2018"," Subministraments ","SUBMINISTRAMENT DE MATERIAL D’OFICINA ","24200.00","15/03/2019","24200.00","15/03/2019","31/08/2019","única"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA REGIONAL, S.A.","15-2019"," Servei ","SERVEIS DE PREVENCIÓ DE RISCOS LABORALS ALIENS","7260.00","29/11/2018","7986.00","01/01/2019","31/12/2019","única"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2014AJCC049CAL02P006"," Servei ","Prórroga Contracte Serveis Auxiliars d´informació de diferents dependències de BSM ","850020.00","27/02/2019","106250.00","27/03/2019","26/09/2019","6"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2014AJCC049CAL04P006"," Servei ","Prórroga Contracte Serveis Auxiliars d´informació de diferents dependències de BSM ","122836.00","27/03/2019","19193.13","27/03/2019","26/06/2019","6"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2014F101CAL01P004"," Servei ","Prorroga relativa als serveis de controladors d'accés al Parc del Fòrum de Barcelona","150000.00","27/02/2019","12500.00","27/02/2019","26/05/2019","4"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2014MOB103CAL01P002"," Servei ","Prórroga Contracte relatiu al manteniment preventiu, correctiu i tècnic legal i servei de 24/365 dels aparells elevadors de les divisions d’Aparcaments, Transports, Tibidabo i Anella Olímpica de B:SM. ","156912.00","20/03/2019","40074.72","01/05/2019","30/04/2020","2"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2014MOB103CAL02P001"," Servei ","Prórroga Contracte relatiu al manteniment preventiu, correctiu i tècnic legal i servei de 24/365 dels aparells elevadors de les divisions d’Aparcaments, Transports, Tibidabo i Anella Olímpica de B:SM. ","215296.00","20/03/2019","53824.00","01/05/2019","30/04/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2014MOB103CAL03P003"," Servei ","Prórroga Contracte relatiu al manteniment preventiu, correctiu i tècnic legal i servei de 24/365 dels aparells elevadors de les divisions d’Aparcaments, Transports, Tibidabo i Anella Olímpica de B:SM. ","190356.00","20/03/2019","40403.00","01/05/2019","30/04/2020","3"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2015AJCC126CAL01P003"," Servei ","Prórroga Serveis ordinaris i extraordinaris de neteja ambientalment correctes de BSM amb suport als processos d'inserció socio laboral i d'exclusió social ","2866104.86","01/04/2019","1433052.43","01/04/2019","31/03/2020","3"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2015AJCC126CAL02P006"," Servei ","Prórroga Serveis ordinaris i extraordinaris de neteja ambientalment correctes de BSM amb suport als processos d'inserció socio laboral i d'exclusió social ","928512.00","13/03/2019","447850.46","01/04/2019","31/03/2020","6"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2015AJCC126CAL03P003"," Servei ","Prórroga Serveis ordinaris i extraordinaris de neteja ambientalment correctes de BSM amb suport als processos d'inserció socio laboral i d'exclusió social ","714694.00","13/03/2019","357000.00","01/04/2019","31/03/2020","3"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2015AJCC126CAL04P002"," Servei ","Prórroga Serveis ordinaris i extraordinaris de neteja ambientalment correctes de BSM amb suport als processos d'inserció socio laboral i d'exclusió social ","283920.00","11/02/2019","141960.00","01/04/2019","31/03/2020","2"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2015AO144CAL01P001"," Servei ","Prórroga Servei de manteniment de les instal·lacions de megafonia del Palau Sant Jordi, Estadi Olímpic Lluís Companys, volum tècnic central galeries, esplanada olímpica i Barcelona Teatre Musical","306000.00","27/02/2019","98769.00","05/05/2019","04/05/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2015AP033CAL01P005"," Servei ","Prórroga Contractació relativa als auxiliars de serveis per Aparcaments de BSM amb suport als processos d'inserció socio-laboral i d'exclusió social.","869648.51","27/03/2019","74938.62","27/03/2019","18/06/2019","5"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2015AP033CAL01P006"," Servei ","Prórroga Contractació relativa als auxiliars de serveis per Aparcaments de BSM amb suport als processos d'inserció socio-laboral i d'exclusió social.","869648.51","19/06/2019","139965.67","19/06/2019","18/12/2019","6"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2015AP054CAL01P006"," Servei ","Prórroga Servei de manteniment preventiu, correctiu i evolutiu dels sistemes de control dels aparcaments gestionats per Barcelona de Serveis Municipals, SA","2413537.52","02/10/2019","658381.92","13/10/2019","12/10/2020","6"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2015CONS039CAL03P001"," Servei ","Prórroga Contracte relatiu als serveis de manteniment preventiu, correctiu i tècnic legal de les instal·lacions contra incendis de les Divisions d´Aparcaments, Transports, Anella Olímpica, Parc de Montjuïc,  Parc del Fòrum i Parc Güell de BSM i de PATSA.","90214.48","11/02/2019","30072.16","11/02/2019","10/02/2020","1"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2015CONS053CAL01P004"," Servei ","Prórroga Servei de manteniment preventiu, correctiu i tècnic-legal de les instal.lacions de climatització de les divisions d’Aparcaments i Transports, Unitat del Parc del Fòrum i Unitat Park Güell de BSM.","197601.12","13/11/2019","0.01","01/12/2019","30/06/2020","4"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA SERVEIS MUNICIPALS","2015MANT146CAL01P001"," Servei ","Prórroga Serveis de manteniment preventiu i correctiu de les instal·lacions de ventilació, detecció CO, impulsió i extracció de les dependències de Barcelona de Serveis Municipals, SA (aparcaments, dipòsit Joan Miró i dipòsit Badajoz)","254559.80","16/05/2019","67486.56","01/06/2019","31/05/2020","1"
