"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcidentifierimagurb","dcidentifierimagurbcd","dcidentifieruri","dcpublisher","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectforma","dcsubjectimagurb","dctitle","dctype","Unnamed: 24"
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 2. Eixample. Corts Catalanes, Gran Via (Barcelona)","","1993-01-01","2002-01-01","Data aproximada; bibliografia: Vázquez Montalbán, Manuel, ""Barcelona fuente a fuente"". Barcelona : REPSOL, 1990. Vallmitjana Barbany, Venanci. Primer pla de la font de Diana, deesa de  la caça. Està esculpida en marbre i fou  creada per Venanci Vallmitjana.  L'Ajuntament l'adquirí el 1913.  S'ubica a la gran via de les Corts Catalanes.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","998. NEUFON657_27",32.0,"http://hdl.handle.net/11703/74379","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. Escultures i monuments. ELEMENTS URBANS. VALLMITJANA BARBANY, Venanci","Font de Diana","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Catedral, Avinguda (Barcelona). Barcelona. Districte 1. Ciutat Vella","1990","1991-10-01","2002-01-01","Roselló, Antoni. Primer pla d'una font Georgina, de perfil.  L'element és d'acer inoxidable, bronze o fundició de ferro.  És de gran senzillesa.  S'ubica a l'avinguda Catedral.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","839. NEUFON313_36",27.0,"http://hdl.handle.net/11703/74220","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. ROSELLÓ, Antoni. FUNDICIONES DE HIERROS COLOMER, S.A.","Font Georgina","image",""
"Servei d'Elements Urbans. Gri Espinagosa, Josep","Barcelona. Districte 9. Sant Andreu. Can Fabra, Plaça (Barcelona). Segre, Carrer (Barcelona). Sant Adrià, Carrer (Barcelona)","1995","1995-06-23","2011-11-29","Nún. 9811 a Art Públic. Llopart, Ramón","","","image/jpeg","1 fotografia","Digital. Jpg. Color","-21263. NEUFON1368_16",232.0,"http://hdl.handle.net/11703/73409","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","ELEMENTS URBANS. FONTS. LLOPART, Ramón","Font cibernètica de Can Fabra","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 5. Sarrià-Sant Gervasi. Hort de la Vila, Carrer (Barcelona)","","1993-06-17","2002-01-01","Pla general d'un petit tram del carrer Hort  de la Vila, on hi destaca una font mural de  fornícula.  L'element es composa d'una pila de desguàs,  de pedra i una aixeta de llautó. Aquesta  es troba envoltada de rajoles de diferents colors.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1211. NEUFON707_27",38.0,"http://hdl.handle.net/11703/74591","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font al carrer Hort de la Vila","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 3. Sants-Montjuïc. Espanya, Plaça (Barcelona)","1929","1992-09-26","2002-01-01","Blay, Miquel. Primer pla de l'escultura: Rius Tajo i Guadalquivir.  Aquesta forma part de la Font de la plaça  Espanya.   Les escultures són obra de Miquel Blay.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","890. NEUFON521_9",28.0,"http://hdl.handle.net/11703/74271","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. Escultures i monuments. BLAY, Miquel","Font de la plaça Espanya","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Pelai, Carrer (Barcelona). Universitat, Ronda (Barcelona). Barcelona. Districte 2. Eixample","","1993-01-01","2002-01-01","Data aproximada; bibliografia: Vázquez Montalbán, Manuel, ""Barcelona fuente a fuente"". Barcelona : REPSOL, 1990. Campeny Santamaria, Josep. Primer pla de la font El Trinxeraire, on es  mostra aquest personatge enfilat a la font  amb la intenció d'esquitxar els vianants.  L'autor de l'obra fou Josep Capmeny Santamaria.  Va ser creada el 1912. S'ubica a la ronda  Universitat amb Pelai.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1001. NEUFON657_33",32.0,"http://hdl.handle.net/11703/74382","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. Escultures i monuments. CAMPENY SANTAMARIA, Josep","Font El Trinxeraire","image",""
"Gri Espinagosa, Josep","Barcelona. Districte 8. Nou Barris. Aiguablava, Carrer (Barcelona)","","2000-03-13","2011-11-09","","","","image/jpeg","1 fotografia","Digital. Jpg. Color","-26246. NEUPAL3389_01",232.0,"http://hdl.handle.net/11703/73368","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","ELEMENTS URBANS. SENYALITZACIÓ URBANA. METRO. ESTACIONS","Senyalització del metro L4 Trinitat Nova, al carrer d'Aiguablava","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Parc de Montjuïc (Barcelona). Barcelona. Districte 3. Sants-Montjuïc","","1993-05-03","2002-01-01","Data aproximada. Primer pla d'una font de pedra que es situa a les escales del Generalife, al Parc de Montjuïc. La pila de desguàs és bastant baixa i té forma semicircular. Aquesta recull l'aigua que hi raja de l'aixeta de llautó de l'element.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1042. NEUFON665_30",33.0,"http://hdl.handle.net/11703/74423","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font a les escales del Generalife","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Jardins del Palau de Pedralbes (Barcelona). Barcelona. Districte 4. Les Corts","","1993-06-09","2002-01-01","Primer pla d'una font amb brollador que es situa al Palau de Pedralbes. L'element es troba sense aigua i té forma quadrada. S'ha instal·lat al nivell de terra.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1134. NEUFON692_28",36.0,"http://hdl.handle.net/11703/74514","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font als Jardins del Palau de Pedralbes","image",""
"Cunill, Julio. CBFOTO. Servei d’Elements Urbans","Barcelona. Districte 1. Ciutat Vella. Parc de la Ciutadella (Barcelona)","","1982","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Blanc i negre","NEUD01GLO2292_07",188.0,"http://hdl.handle.net/11703/102874","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. GLORIETES. PARCS. BANCS","Glorieta de música i bancs al Parc de la Ciutadella","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Parc de Montjuïc (Barcelona). Barcelona. Districte 3. Sants-Montjuïc. Carles Buïgas, Plaça (Barcelona)","1929","1994-06-09","2002-01-01","Buigas Sans, Carles. Primer pla de la Font Màgica i de les escales que condueixen al Palau Nacional. Es poden veure detalls de la font. Aquesta es troba sense aigua.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","739. NEUFON1049_10",23.0,"http://hdl.handle.net/11703/74125","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. Escultures i monuments. Palau Nacional de Montjuïc (Barcelona). Buigas, Carlos","Font Màgica","image",""
"Servei d'Elements Urbans","Jardins de la Vil·la Amèlia (Barcelona)","","1987-04-01","2002-01-01","Data aproximada. Primeríssim primer pla dels paviments dels Jardins de la Vil·la Amèlia. La composició d'aquests és geomètrica i combina diferents tonalitats dels colors vermell i verd.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","405. DEUPAV7_5",13.0,"http://hdl.handle.net/11703/73792","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","PAVIMENTS. ELEMENTS URBANS","Paviments als Jardins de la Vil·la Amèlia","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 3. Sants-Montjuïc. Espanya, Plaça (Barcelona)","1929","1992-08-13","2002-01-01","Jujol Gibert, Josep Ma.. Primer pla de la Font de la plaça Espanya.  La font també es coneguda amb el nom de   Font dels tres mars.  Fou dissenyada per Josep Ma. Jujol.  Fou realitzada amb: pedra de Montjuïc, pedra  calcària, marbre blanc, bronze i ferro forjat.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","875. NEUFON510_36",28.0,"http://hdl.handle.net/11703/74256","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FONTS. Escultures i monuments. JUJOL GIBERT, Josep Ma.","Font de la plaça Espanya","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","","","2009-05-19","2009-06-04","Projecte encarregat per Adolf Creus.. Primer pla del gual de vehicles. Peça de granit de 60nx30 amb les cares vistes   famejades. Conformada segons detall. Pla inclinat amb pendent en funció   de l'alçada de la vorada.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","30461. EU223GUA_06",223.0,"http://hdl.handle.net/11703/75332","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. GUALS","Mobiliari i elements diversos","image",""
"Servei d'Elements Urbans","","","","2002-01-01","Barragán, Pedro; De Solà, Bernardo; Julià, Josep Maria. Pla general on es mostra un carrer amb   diversos fanals d'estil columna Nikolson.   Aquest tipus d'enllumenat es basa en   diferents tubs, un d'acer inoxidable i dos   d'acer galvanitzat.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","171. DEUENL3_18",5.0,"http://hdl.handle.net/11703/73559","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT. ELEMENTS URBANS. BARRAGÁN, Pedro","Columna Nikolson","image",""
"Servei d'Elements Urbans","Major de Sarrià, Carrer (Barcelona)","","","2002-01-01","Primer pla d'una pilona de fosa. Aquesta té   una superfície ampla i llisa per seure-hi i és  bastant baixa. S'ubica al carrer Major de Sarrià.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","427. DEUPIL3_12",14.0,"http://hdl.handle.net/11703/73814","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","PILONES I ELEMENTS DE PROTECCIÓ. ELEMENTS URBANS","Pilona al carrer Major de Sarrià","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Corts Catalanes, Gran Via (Barcelona)","","1993-10-29","2002-01-01","Solà, Bernardo de; Barragán, Pedro. Primer pla de la lluminària d'una columna  telescòpica CSV per a la il·luminació de   calçades.   Els diàmetres i les calçades són variables.  S'ubica a la Gran Via de les Corts Catalanes  amb la rambrla Prim.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","708. NEUENL806_24",23.0,"http://hdl.handle.net/11703/74094","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT. ELEMENTS URBANS. SOLÀ, Bernardo de","Columna CSV","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Poeta Boscà, Plaça (Barcelona)","1991","1992-10-05","2002-01-01","Roselló, Antoni. Primer pla d'unes joguines infantils, model   Olimpia, a la plaça Joan Boscà.   Els elements es basen en unes formes  elementals que permenten qualsevol tipus  de col·locació, ja que es composen de   diferents mòduls.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1409. NEUJOGINF526_1",45.0,"http://hdl.handle.net/11703/74789","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","JOGUINES INFANTILS. ROSELLÓ, Antoni","Jocs Olimpia","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Torrent de l'Olla, Carrer (Barcelona)","","1997-07-01","2002-01-01","Movilla, Joaquim. Pla general frontal d'un quiosc-benzinera   al carrer Torrent de l'Olla. Aquesta unitat   de suministrament pertany a l'empresa   CEPSA.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1520. NEUQUIBEN2337_27",48.0,"http://hdl.handle.net/11703/74900","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","Quioscos. GASOLINERES. MOVILLA, Joaquim","Unitat de suministrament","image",""
"Servei d'Elements Urbans","","","1998-05-01","2002-01-01","Data aproximada. Primer pla d'escocell al carrer Torrent de l'Olla. Es caracteritza per tenir forma de fulla.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","235. DEUESC2_16",8.0,"http://hdl.handle.net/11703/73623","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ESCOCELLS. ELEMENTS URBANS","Escocell Sanfeliu","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Onze de Setembre, Rambla (Barcelona). Barcelona. Districte 9. Sant Andreu","1988","1998-05-16","2002-01-01","Henrich, Jordi; Tarrasó, Olga. Pla mig d'un fanal model P.E.P. L'element  es basa en una columna troncocònica   invertida i lluminària cilíndrica de vidre.  És de gran rendiment lumínic i resulta molt  adient per a grans espais peatonals.S'ubica  al passeig Onze de Setembre.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","700. NEUENL38_21",22.0,"http://hdl.handle.net/11703/74086","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT. HENRICH, Jordi. TARRASÓ, Olga","Fanal P.E.P.","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","1991","1994-10-03","2002-01-01","Henrich, Jordi; Tarrasó, Olga. Pla general on es mostren diferents balises  model P.E.P.   Té una forma cilíndrica i grans dimensions.  Sol ubicar-se en zones portuàries.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","661. NEUENL1110_16",21.0,"http://hdl.handle.net/11703/74048","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT. HENRICH, Jordi. TARRASÓ, Olga","Balisa P.E.P.","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Creu Coberta, Carrer (Barcelona)","","1994-10-22","2002-01-01","Godó, Ramon; Barcelona Tecnología S.A.. Primer pla dels prestatges d'un quiosc de flors model B.T. L'element s'ubica al carrer Creu Coberta.","","","image/jpeg","1 contacte","Positiu. CONTACTES 6X6. Color","1531. NEUQUIFLORX618_8",48.0,"http://hdl.handle.net/11703/74911","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","Quioscos. FLORISTES. GODÓ, Ramon","Quiosc de flors B.T.","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","","","2009-05-13","2009-10-14","Projecte encarregat per Adolf Creus.. Fiol, Carme. Primer pla d'un escocell Fiol","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31417. EU223ESC_07",223.0,"http://hdl.handle.net/11703/75422","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. ESCOCELLS. FIOL, Carme","Escocell Fiol","image",""
"Cunill, Julio. CBFOTO. Servei d’Elements Urbans","Barcelona. Districte 8. Nou Barris. Júlia, Via (Barcelona)","","1984","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Blanc i negre","NEUD08MOB2738_04",189.0,"http://hdl.handle.net/11703/104963","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS","Mobiliari urbà a la Vila Júlia","image",""
"Servei d'Elements Urbans","Sevilla (Andalusia)","1991","","2002-01-01","Informació extreta de l'obra: ""Elements urbans: mobiliario y microarquitectura"", de Josep Ma. Serra. Garrido, Javier. Primer pla d'una tanca de gran originalitat  que envolta el recinte de l'Expo'92 de   Sevilla (Andalusia). Inigualable per la seva rigidesa,   resistència i perfecte acabat.  L'element es recobreix de PVC i el seu  interior és de barnilles d'acer i ceràmica.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","497. DEUTAN1_8",16.0,"http://hdl.handle.net/11703/73884","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","TANQUES. ELEMENTS URBANS","Tanca Expo 92","image",""
"Servei d'Elements Urbans","","","","2002-01-01","Fiol, Carme. Primer pla d'escocell de forma quadriculada al carrer. És de granit.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","233. DEUESC2_11",8.0,"http://hdl.handle.net/11703/73621","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ESCOCELLS. ELEMENTS URBANS. FIOL, Carme","Marc d'escocell","image",""
"Servei d'Elements Urbans","","","","2002-01-01","Pla general on es mostren alineats a la platja,  uns guardarrobes. Aquests estan numerats   i tenen un tendal de color blau i vermell.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","322. DEUMOBPLA1_9",10.0,"http://hdl.handle.net/11703/73710","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","MOBILIARI PLATJA. ELEMENTS URBANS","Guardaroba","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Dalt, Ronda de (Barcelona)","","1994-07-01","2002-01-01","Data aproximada. MEIN-Mecanización Industrial Sabadell. Primer pla del perfil d'un banc romàntic a la   Ronda de Dalt-Ciutat Sanitària.  El seient de l'element urbà està fet amb   llistons de fusta i les potes són de fundició  de ferro.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","516. NEUBAN1077_1",16.0,"http://hdl.handle.net/11703/73903","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","BANCS. ELEMENTS URBANS. MEIN-Mecanización Industrial Sabadell","Banc Romàntic","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","J. V. Foix, Avinguda (Barcelona)","","1995-07-01","2002-01-01","Data aproximada. Fiol, Carme; Ica-Formo-Thoro. Primer pla d'un marc d'escocell amb un arbre i una paperera model Barcelona. Aquests dos elements urbans s'ubiquen a l'avinguda J.V. Foix","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","727. NEUESC1398_36",23.0,"http://hdl.handle.net/11703/74113","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ESCOCELLS. ELEMENTS URBANS. FIOL, Carme","Marc d'escocell","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","","1998-09-01","2002-01-01","Data aproximada. Primer pla d'una balisa esfèrica de tràfic,   encastada a terra.  És de gran resistència ja que la seva funció   principal és la senyalització i l'orientació.  Incorpora uns projectors de llum de color   vermell.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","698. NEUENL3278_11",22.0,"http://hdl.handle.net/11703/74084","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. ENLLUMENAT","Balisa de tràfic","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Parc del Laberint d'Horta (Barcelona). Barcelona. Districte 7. Horta-Guinardó","","1993-06-30","2002-01-01","Primer pla d'un estany amb brollador, al Parc del Laberint. L'estany es troba adossat a un mur. Aquest, està recobert de plantes enfiladisses.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1316. NEUFON717_28",42.0,"http://hdl.handle.net/11703/74696","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Fonts al Parc del Laberint","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","","1993-10-01","2002-01-01","Platja Vila Olímpica","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1433. NEUMOBPLA766_34",45.0,"http://hdl.handle.net/11703/74813","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","Barrera de fusta","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","","1994-07-01","2002-01-01","Data aproximada. Barragán, Pedro; LUXTER. Pla mig d'enllumenat d'un fanal model Prim,  on es poden veure amb detall, els projectors  de l'element.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","643. NEUENL1077_8",20.0,"http://hdl.handle.net/11703/74030","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT. FANALS","Fanal Prim","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 5. Sarrià-Sant Gervasi. Maluquer, Passatge (Barcelona)","","1993-06-18","2002-01-01","Pla d'exterior d'una font als jardins del  passatge Maluquer, al barri de Sant Gervasi.  La font mural té un mascaró d'on brolla un  raig d'aigua que va a parar a un estany.  Al costat de l'element, es mostren unes escales  de pedra.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1222. NEUFON709_17",39.0,"http://hdl.handle.net/11703/74602","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font al passatge Maluquer","image",""
"Servei d'Elements Urbans","Nimes (França)","1993","","2002-01-01","Dorner, Marie-Christine. Primer pla d'unes banquetes Nimes   realitzades en fusta.  L'element està pensat especialment  per a estacions d'autobús i altres emplaçaments  de curta espera.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","63. DEUBAN5_20",2.0,"http://hdl.handle.net/11703/73452","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","BANCS. ELEMENTS URBANS","Banc parada bus NIMES","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Gran de Sant Andreu, Carrer (Barcelona)","","1996-11-04","2002-01-01","Pla general d'una part del carrer Gran de  Sant Andreu, on destaca un carril bici de  color vermellós. Aquest té una bicicleta   blanca, pintada al seu interior.  També es mostren pilones grises   alineades, uns bancs i una cabina telefònica.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","575. NEUCARBIC2004_24",18.0,"http://hdl.handle.net/11703/73962","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","Vies ciclistes. ELEMENTS URBANS","Carril bici al carrer Gran de Sant Andreu","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Islàndia, Plaça (Barcelona)","1993","1995-06-20","2002-01-01","Arriola, Andreu; Fiol, Carme. Primer pla d'un vas corresponent a la part  superior d'una font model Sarastro.  S'ha realitzat amb acer inoxidable i té   incorporat un rellotge de sol.  S'ubica a la plaça Islàndia.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","784. NEUFON1363_23",25.0,"http://hdl.handle.net/11703/74165","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. ARRIOLA, Andreu. FIOL, Carme","Font Sarastro","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","","","2009-05-19","2009-06-04","Projecte encarregat per Adolf Creus.. Primer pla del gual de vehicles. Peça de granit de 60nx30 amb les cares vistes   famejades. Conformada segons detall. Pla inclinat amb pendent en funció   de l'alçada de la vorada.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","30459. EU223GUA_04",223.0,"http://hdl.handle.net/11703/75330","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. GUALS","Mobiliari i elements diversos","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","","1998-01-29","2002-01-01","Primer pla on es mostra un pipi can.  L'element té forma allagada i queda delimitat   per una tanca baixa.  Hi han dues entrades per accedir-hi al seu  interior. Aquest està recobert de sorra. Hi han  uns pals de fusta enclavats a terra.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","616. NEUELEDIV2413A_10",20.0,"http://hdl.handle.net/11703/74003","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS DIVERSOS. ELEMENTS URBANS","Pipi can","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Gràcia, Passeig (Barcelona)","1900","1990-07-19","2002-01-01","FALQUÉS URPÍ, Pere. Primeríssim primer pla de l'enllumenat d'un  fanal molt característic del passeig de Gràcia, on s'ubica. Està realitzat amb ferro forjat i la lluminària  és un petit globus de color blanc, seccionat. L'element està inspirat en l'obra de Gaudí.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","702. NEUENL68_13",22.0,"http://hdl.handle.net/11703/74088","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT. ELEMENTS URBANS","Fanal al passeig de Gràcia","image",""
