"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"Alcaldia","Poblenou (Barcelona : Barri) | Barcelona. Districte 10. Sant Martí | Poblenou (Barcelona : Neighborhood) | Barcelona. District 10. Sant Martí | Poblenou (Barcelona : Barrio) | Barcelona. Distrito 10. Sant Martí","2017","No","2017-09-07","2017-09-15","2017-09-17","2017-09-08","Aprovat per Decret de l'Alcaldia de 07-09-2017 | Basat en l'article 30.2 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","1 p.","application/pdf","","S1/D/2017-2786","Gaseta Municipal de Barcelona (15-09-2017)","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/105802","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Hoteleria | Establiments de concurrència pública | Festes majors | Restaurants | Terrasses (Hoteleria) | Public spaces | Hospitality industry | Public areas | Festivals | Restaurants | Bar terraces | Espacios públicos | Hostelería | Establecimientos de concurrencia pública | Fiestas | Restaurantes | Terrazas (Hostelería)","Sector públic","bases ús públic | decrets","Horari de les terrasses : barri de Poblenou : modificació temporal amb motiu de la celebració de la Festa Major [2017]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Raval (Barcelona : Barri) | Rambla, La (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Raval (Barcelona : Neighborhood) | Rambla, La (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Raval (Barcelona : Barrio) | Rambla, La (Barcelona)","2010","No","2010-12-09","2010-12-29","2012-03-31","2010-12-30","Aprovada per Resolució de la Gerència del Districte de Ciutat Vella de 09-12-2010","Substituïda pels Criteris d'ordenació i ocupació per a l'activitat d'estàtua humana a la Rambla de Barcelona [2012] [http://hdl.handle.net/11703/84392]","","","","application/pdf","4 p.","application/pdf","9917","","Butlletí Oficial de la Província de Barcelona (29-12-2010)","districtes","","http://hdl.handle.net/11703/84391","cat","","","","","","http://hdl.handle.net/11703/84392","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Estàtues | Quadres vius | Public spaces | Statues | Tableaux | Espacios públicos | Estatuas | Tableau vivant","Cultura i oci","bases ús públic","Normativa de regulació específica per a l'activitat d'estàtua humana a la Rambla de Barcelona  [2010]","","text","info:eu-repo/semantics/other",""
"Districte 8. Nou Barris","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","","No","2006-04-25","2006-04-28","2011-03-15","2006-04-26","Aprovat per Decret de l'Alcaldia de 25-04-2006","Substituït pel Pla regulador de les autoritzacions de terrasses al Districte de Nou Barris [2011] [http://hdl.handle.net/11703/86398] | Derogat pel Decret d’Alcaldia de 04-05-2015 de Derogació de les disposicions municipals obsoletes [http://hdl.handle.net/11703/83416]","Substitueix el Pla regulador de les autoritzacions de terrasses al Districte de Nou Barris [2001] [http://hdl.handle.net/11703/85860]","","Annex gràfic","application/pdf","4 p.","application/pdf","6187 | 6188","","Butlletí Oficial de la Província de Barcelona, núm. 101 (28-04-2006),  p. 51-54 | Correcció d'errades: Butlletí Oficial de la Província de Barcelona, núm. 115 (15-06-2006),  p. 67-76","districtes","","http://hdl.handle.net/11703/97872","cat","","","","","","http://hdl.handle.net/11703/86398 | http://hdl.handle.net/11703/83416","","http://hdl.handle.net/11703/85860","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Hoteleria | Bars | Restaurants | Terrasses (Hoteleria) | Establiments de concurrència pública | Public spaces | Hospitality industry | Bars (Drinking establishments) | Restaurants | Bar terraces | Public areas | Espacios públicos | Hostelería | Bares | Restaurantes | Terrazas (Hostelería) | Establecimientos de concurrencia pública","Comerç","bases ús públic","Pla regulador de les autoritzacions de terrasses al Districte de Nou Barris  [2006]","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts | Alcaldia","Barcelona. Districte 4. Les Corts | Corts (Barcelona : Barri) | Can Rosés, Plaça (Barcelona) | Déu i Mata, Carrer (Barcelona) | Concòrdia, Plaça (Barcelona) | Remei, Carrer (Barcelona) | Benavent, Carrer (Barcelona) | Sant Ramon Nonat, Avinguda (Barcelona) | Carme, Plaça (Barcelona) | Sòl de Baix, Plaça (Barcelona) | Corts, Plaça (Barcelona) | Comas, Plaça (Barcelona) | Barcelona. Distrito 4. Les Corts | Corts (Barcelona : Barrio) | Can Rosés, Plaza (Barcelona) | Déu i Mata, Calle (Barcelona) | Concòrdia, Plaza (Barcelona) | Remei, Calle (Barcelona) | Benavent, Calle (Barcelona) | Sant Ramon Nonat, Avenida (Barcelona) | Carme, Plaza (Barcelona) | Sòl de Baix, Plaza (Barcelona) | Corts, Plaza (Barcelona) | Comas, Plaza (Barcelona) | Barcelona. District 4. Les Corts | Corts (Barcelona : Neighborhood) | Can Rosés, Square (Barcelona) | Déu i Mata, Street (Barcelona) | Concòrdia, Square (Barcelona) | Remei, Street (Barcelona) | Benavent, Street (Barcelona) | Sant Ramon Nonat, Avenue (Barcelona) | Carme, Square (Barcelona) | Sòl de Baix, Square (Barcelona) | Corts, Square (Barcelona) | Comas, Square (Barcelona)","2018","No","2018-09-28","2018-10-04","2018-10-14","2018-10-05","Aprovat per Decret de l'Alcaldia de 28-09-2018 | Basat en l'article 30.2 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","1 p.","application/pdf","","Núm. Exp. Q108-2018-00001","Butlletí Oficial de la Província de Barcelona (04-10-2018)","districtes","","http://hdl.handle.net/11703/111079","cat","","","","http://hdl.handle.net/11703/86856","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Horaris comercials | Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Festes majors | Business hours | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Festivals | Horarios comerciales | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública | Fiestas","Comerç","bases ús públic | decrets","Horaris de les terrasses : les Corts : modificació temporal amb motiu de la celebració de la Festa Major [2018]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Portal de l'Àngel, Avinguda (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Portal de l'Àngel, Avenue (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Portal de l'Àngel, Avenida (Barcelona)","2009","No","2009-07","2009","","","Aprovada pel Plenari del Consell Municipal de 2009","","","","","application/pdf","6 p.","application/pdf","5565","","","districtes","","http://hdl.handle.net/11703/84387","cat","Districte de Ciutat Vella","","http://hdl.handle.net/11703/89244","","","http://hdl.handle.net/11703/84386","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Llicències comercials | Fires | Venda ambulant | Public spaces | Trade licenses | Fairs | Peddling | Espacios públicos | Licencias comerciales | Ferias | Comercio ambulante","Comerç","bases ús públic | documents digitalitzats","Normativa de regulació de les activitats de venda no sedentària i/o altres activitats a l'Avinguda Portal de l'Àngel  [2009]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella","2015","No","2015","2015","","","","Substituïda per la Normativa per interpretar musica a la via pública del  Districte de Ciutat Vella [2016] [http://hdl.handle.net/11703/97470","Substitueix la Normativa per interpretar música a la via pública del Districte de Ciutat Vella [2014] [http://hdl.handle.net/11703/84388]","","","application/pdf","10 p.","application/pdf","","","","districtes","","http://hdl.handle.net/11703/84007","cat","","","","","","http://hdl.handle.net/11703/97470","","http://hdl.handle.net/11703/84388","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics | Músics ambulants | Música | Public spaces | Street music | Music | Espacios públicos | Músicos callejeros | Música","Cultura i oci","bases ús públic","Normativa per interpretar música a la via pública del Districte de Ciutat Vella [2015]","Normativa de músics de carrer [2015]","text","info:eu-repo/semantics/other",""
"Districte 6. Gràcia | Alcaldia","Barcelona. Districte 6. Gràcia | Vila de Gràcia (Barcelona : Barri) | Barcelona. District 6. Gràcia | Vila de Gràcia (Barcelona : Neighborhood) | Barcelona. Distrito 6. Gràcia | Vila de Gràcia (Barcelona : Barrio)","2014","No","2014-08-01","2014-08-13","2014-08-21","2014-08-15","Aprovat pel Departament de Serveis Jurídics-Secretaria del Districte de Gràcia l'01-08-2014 | Basat en l'article 30.2 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","1 p.","application/pdf","13983","Exp. 06-14-01HT","Butlletí Oficial de la Província de Barcelona (13-08-2014 )","districtes","","http://hdl.handle.net/11703/86166","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Horaris comercials | Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Festes majors | Business hours | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Festivals | Horarios comerciales | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública | Fiestas","Comerç","bases ús públic | decrets","Horaris de les terrasses : Vila de Gràcia : modificació temporal amb motiu de la celebració de la Festa Major de Gràcia [2014]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Institut Municipal de Mercats (Barcelona)","Barcelona | Barcelona | Barcelona","","No","2018-09-26","2018-10-04","","","","","","","","application/pdf","2 p.","application/pdf","","Núm. Exp. 1193/18","Butlletí Oficial de la Província de Barcelona (04-10-2018)","organismes autònoms","","http://hdl.handle.net/11703/111081","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.en","Espais públics | Mercats | Establiments de concurrència pública | Espacios públicos | Mercados | Establecimientos de concurrencia pública | Public spaces | Markets | Public areas","Comerç","bases ús públic","Atorgament d'autoritzacions d'ús de les parades dels mercats municipals de Barcelona [2018]","","text","info:eu-repo/semantics/other",""
"Districte 5. Sarrià-Sant Gervasi","Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. Distrito 5. Sarrià-Sant Gervasi","","No","2004-09-29","2004-12-20","2012-01-30","2004-12-21","Aprovat per Decret de l'Alcaldia de 29 de setembre de 2004","Substituït pel Pla regulador de les autoritzacions de terrasses al Districte de Sarrià-Sant Gervasi [2012] [http://hdl.handle.net/11703/85857] | Derogat pel Decret d’Alcaldia de 04-05-2015 de Derogació de les disposicions municipals obsoletes [http://hdl.handle.net/11703/83416]","","","","application/pdf","4 p.","application/pdf","6189","","Butlletí Oficial de la Província de Barcelona, núm. 304 (20-12-2004), p. 6-9","districtes","","http://hdl.handle.net/11703/86397","cat","","","","","","http://hdl.handle.net/11703/83416 | http://hdl.handle.net/11703/85857","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Pla regulador de les autoritzacions de terrasses del Districte de Sarrià-Sant Gervasi [2004]","","text","info:eu-repo/semantics/other",""
"Districte 6. Gràcia | Alcaldia","Barcelona. Districte 6. Gràcia | Vila de Gràcia (Barcelona : Barri) | Barcelona. District 6. Gràcia | Vila de Gràcia (Barcelona : Neighborhood) | Barcelona. Distrito 6. Gràcia | Vila de Gràcia (Barcelona : Barrio)","2016","No","2016-07-21","2016-08-11","2016-08-21","2016-08-12","Aprovat per Decret de l'Alcaldia de 21-07-2016 | Basat en l'article 30.2 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (11-08-2016)","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/97985","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Horaris comercials | Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Festes majors | Business hours | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Festivals | Horarios comerciales | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública | Fiestas","Comerç","bases ús públic | decrets","Horaris de les terrasses : Vila de Gràcia : modificació temporal amb motiu de la celebració de la Festa Major de Gràcia [2016]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","1996-12-20","1997-02-10","","","Aprovat pel Plenari del Consell Municipal de 20-12-1996","","","","","application/pdf","4 p.","application/pdf","6397","","Gaseta Municipal de Barcelona, núm. 5 (10-02-1997)","","","http://hdl.handle.net/11703/85866","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Venedors de periòdics | Premsa | Llicències comercials | Newspaper vendors | Press | Trade licenses | Vendedores de periódicos | Prensa | Licencias comerciales","Comerç","bases ús públic | documents digitalitzats","Bases reguladores de les llicències per a la venda de diaris, revistes i publicacions periòdiques mitjançant quioscos situats a la via pública [1996]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Portal de l'Àngel, Avinguda (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Portal de l'Àngel, Avenue (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Portal de l'Àngel, Avenida (Barcelona)","2013","No","2013","2013","","","Aprovades pel Consell Plenari de 2013","","Substitueix les Condicions reguladores per concórrer al concurs d'atorgament de llicències a l'Av. Portal de l'Àngel [2010] [http://hdl.handle.net/11703/86396]","","","application/pdf","14 p.","application/pdf","11809","","","districtes","","http://hdl.handle.net/11703/84385","cat","Districte de Ciutat Vella","","http://hdl.handle.net/11703/89244","","","","","http://hdl.handle.net/11703/86396","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Llicències comercials | Fires | Venda ambulant | Public spaces | Trade licenses | Fairs | Peddling | Espacios públicos | Licencias comerciales | Ferias | Comercio ambulante","Comerç","bases ús públic | documents digitalitzats","Bases reguladores per concórrer al concurs d'atorgament de llicències a l'Avinguda Portal de l'Àngel [2013]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella","2009","No","2009","2009-10-30","","","","Substituït per la Normativa per interpretar musica a la via pública del Districte de Ciutat Vella [2010] [http://hdl.handle.net/11703/85870]","","","","application/pdf","6 p.","application/pdf","MUSCAR_20091030","","","districtes","","http://hdl.handle.net/11703/111769","cat","Districte de Ciutat Vella","","","","","http://hdl.handle.net/11703/85870","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Música | Música | Music | Espais públics | Espacios públicos | Public spaces","Cultura i oci","bases ús públic","Plànol dels punts de música disponibles al Districte Ciutat Vella [2009]","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella","2010","No","2010","2010","","","","Substituïda per la Normativa per interpretar musica a la via pública del Districte de Ciutat Vella [2011] [http://hdl.handle.net/11703/84390]","Substitueix la Normativa per interpretar musica a la via pública del Districte de Ciutat Vella [2008] [http://hdl.handle.net/11703/86395]","","","application/pdf","11 p.","application/pdf","6376","","","districtes","","http://hdl.handle.net/11703/85870","cat","Districte de Ciutat Vella","","","","","http://hdl.handle.net/11703/84390","","http://hdl.handle.net/11703/86395","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics | Música | Public spaces | Music | Espacios públicos | Música","Cultura i oci","bases ús públic","Normativa per interpretar musica a la via pública del Districte de Ciutat Vella [2010]","Normativa per interpretar música a la via pública [2010]","text","info:eu-repo/semantics/other",""
"Districte 8. Nou Barris","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","","No","2001-01-02","2001-03-09","2006-04-27","2001-03-10","Aprovat per Decret de l'Alcaldia de 02-01-2001 | Derogat en tot el que s'oposi a l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","Derogat en tot el que s'oposi a l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856] | Substituït pel Pla regulador de les autoritzacions de terrasses al Districte de Nou Barris [2006] [http://hdl.handle.net/11703/97872] | Derogat pel Decret d’Alcaldia de 04-05-2015 de Derogació de les disposicions municipals obsoletes [http://hdl.handle.net/11703/83416]","","","","application/pdf","5 p.","application/pdf","9935","","Butlletí Oficial de la Província de Barcelona, núm. 59 (15-03-2011), p. 28-32","districtes","","http://hdl.handle.net/11703/85860","cat","","","","","","http://hdl.handle.net/11703/97872 | http://hdl.handle.net/11703/83416","","","http://hdl.handle.net/11703/86856","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Pla regulador de les autoritzacions de terrasses al Districte de Nou Barris [2001]","","text","info:eu-repo/semantics/other",""
"Alcaldia | Districte 6. Gràcia","Barcelona. Districte 6. Gràcia | Vila de Gràcia (Barcelona : Barri) | Barcelona. District 6. Gràcia | Vila de Gràcia (Barcelona : Neighborhood) | Barcelona. Distrito 6. Gràcia | Vila de Gràcia (Barcelona : Barrio)","2019","","2019-08-02","2019-08-14","2019-08-21","2019-08-15","Aprovat per Decret de l'Alcaldia de 02-08-2019 | Basat en l'article 30.2 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","2 documents","application/pdf","","S1/D/2019-1703","Butlletí Oficial de la Província de Barcelona (14-08-2019) | Gaseta Municipal de Barcelona (05-09-2019)","districtes","Mandat 2019-","http://hdl.handle.net/11703/115257","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Horaris comercials | Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Festes majors | Business hours | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Festivals | Horarios comerciales | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública | Fiestas","Comerç","bases ús públic | decrets","Horaris de les terrasses : Vila de Gràcia : modificació temporal amb motiu de la celebració de la Festa Major de Gràcia [2019]","Modificació del règim horari de les terrasses de la Vila de Gràcia, amb motiu de la celebració de la Festa Major de Gràcia","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1962-11-08","1963-03-31","1964-09-01","1962-11-08","Aprovada pel Plenari del Consell Municipal de 08-11-1962","Derogada per la Ordenanza de polícia de vía pública [1964] [http://hdl.handle.net/11703/100459]","","Digitalitzat pel SEDAC","","application/pdf","3 p.","application/pdf","","","Gaseta Municipal de Barcelona, núm 3 (31-03-1963), p. 181-183","","","http://hdl.handle.net/11703/100453","spa","","","","","Reproducció digital del document en suport original","http://hdl.handle.net/11703/100459","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Fires | Public spaces | Fairs | Espacios públicos | Ferias","Comerç","bases ús públic","Normas para la instalación de tómbolas [1962]","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Sant Josep Oriol, Plaça (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Sant Josep Oriol, Square (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Sant Josep Oriol, Plaza (Barcelona)","2014","No","2012-03-07","2012-03-07","","","Aprovat el 07-03-2012","","Substitueix la Normativa de regulació per a participar en el procés de selecció de nous  titulars per a la Mostra d'Art de la Plaça de Sant Josep Oriol [2009] [http://hdl.handle.net/11703/86394]","","","application/pdf","7 p.","application/pdf","11810","","","districtes","","http://hdl.handle.net/11703/85861","cat","","","","","","","","http://hdl.handle.net/11703/86394","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics | Pintors | Llicències comercials | Public spaces | Painters | Trade licenses | Espacios públicos | Pintores | Licencias comerciales","Cultura i oci","bases ús públic","Normativa de regulació per a participar en el procés de selecció de nous titulars per a la Mostra d'Art de la Plaça de Sant Josep Oriol [2012]","","text","info:eu-repo/semantics/other",""
"Districte 3. Sants-Montjuïc","Barcelona. Districte 3. Sants-Montjuïc | Barcelona. District 3. Sants-Montjuïc | Barcelona. Distrito 3. Sants-Montjuïc","2014","No","2014-07-28","2014-08-05","","2014-08-06","Aprovat per resolució del Regidor del Districte de Sants-Montjuïc de 28-07-2014","","","","","application/pdf","4 p.","application/pdf","13955","","Butlletí Oficial de la Província (05-08-2014)","districtes","","http://hdl.handle.net/11703/85862","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Comerç | Llicències comercials | Commerce | Trade licenses | Comercio | Licencias comerciales","Comerç","bases ús públic","Bases de la convocatòria de l'any 2014 per a l'atorgament de noves llicències per a venda de castanyes i moniatos en l'àmbit del Districte de Sants-Montjuïc","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Raval (Barcelona : Barri) | Hort de la Bomba, Carrer (Barcelona) | Barcelona. District 1. Ciutat Vella | Raval (Barcelona : Neighborhood) | Hort de la Bomba, Street (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Raval (Barcelona : Barrio) | Hort de la Bomba, Calle (Barcelona)","","Si","2016-05-26","2016-06-28","","2016-06-29","Aprovat per la Comissió de Govern de 26-05-2016 | Basat en l'article 80 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","9 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (28-06-2016)","districtes","","http://hdl.handle.net/11703/97516","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Distribució prèvia de terrasses del carrer Hort de la Bomba, al districte de Ciutat Vella [2016]","","text","info:eu-repo/semantics/other",""
"Districte 2. Eixample","Barcelona. Districte 2. Eixample | Sagrada Família (Barcelona : Barri) | Padilla, Carrer (Barcelona) | Hort Urbà de Sagrada Família (Barcelona) | Barcelona. District 2. Eixample | Sagrada Família (Barcelona : Neighborhood) | Padilla, Street (Barcelona) | Hort Urbà de Sagrada Família (Barcelona) | Barcelona. Distrito 2. Eixample | Sagrada Família (Barcelona : Barrio) | Padilla, Calle (Barcelona) | Hort Urbà de Sagrada Família (Barcelona)","2018","Si","2018-05-07","2018-05-15","","2018-05-16","","","","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (15-05-2018) | Correccions d’errades: Butlletí Oficial de la Província de Barcelona (28-05-2018)","districtes","","http://hdl.handle.net/11703/109169","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Horts | Agricultura urbana | Vegetable gardening | Urban agriculture | Huertos | Agricultura urbana","Medi rural i pesca","bases ús públic","Autorització de l'ús de 15 parcel·les de l'Hort de Sagrada Família [2018]","Concurs d’adjudicació de 15 parcel·les a l’Hort de Sagrada Família","text","info:eu-repo/semantics/other",""
