"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcidentifierimagurb","dcidentifierimagurbcd","dcidentifieruri","dcpublisher","dcrelation","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectforma","dcsubjectimagurb","dctitle","dctype","Unnamed: 27"
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 3. Sants-Montjuïc. Zona Franca (Barcelona : Barri). Àrtic, Carrer (Barcelona)","","2005-07-01","2005-10-07","Pla general, contrapicat de la zona   d'aparcament. S'esta realitzant l'estudi   pertinent per ubicar-hi la nova presó de   Barcelona. El solar e stroba davant   de  El Consorci.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27006. 0117a021_01",117.0,"http://hdl.handle.net/11703/65626","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. APARCAMENTS. PRESONS. CONSORCI DE LA ZONA FRANCA","Solar Zona Franca","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 3. Sants-Montjuïc. Zona Franca (Barcelona : Barri). Àrtic, Carrer (Barcelona)","","2005-07-01","2005-10-07","Pla general, contrapicat de la zona   d'aparcament. S'esta realitzant l'estudi   pertinent per ubicar-hi la nova presó de   Barcelona. El solar e stroba davant   de  El Consorci.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27007. 0117a021_02",117.0,"http://hdl.handle.net/11703/65627","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. APARCAMENTS. PRESONS. CONSORCI DE LA ZONA FRANCA","Solar Zona Franca","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 3. Sants-Montjuïc. Zona Franca (Barcelona : Barri). Àrtic, Carrer (Barcelona)","","2005-07-01","2005-10-07","Pla general, contrapicat de la zona   d'aparcament. S'esta realitzant l'estudi   pertinent per ubicar-hi la nova presó de   Barcelona. El solar e stroba davant   de  El Consorci.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27008. 0117a021_03",117.0,"http://hdl.handle.net/11703/65628","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. APARCAMENTS. PRESONS. CONSORCI DE LA ZONA FRANCA","Solar Zona Franca","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 3. Sants-Montjuïc. Zona Franca (Barcelona : Barri)","","2005-07-01","2005-10-07","Pla general, contrapicat de la zona   d'aparcament. S'esta realitzant l'estudi   pertinent per ubicar-hi la nova presó de   Barcelona. El solar e stroba davant   de  El Consorci.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27005. 0117a020_05",117.0,"http://hdl.handle.net/11703/65625","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. APARCAMENTS. PRESONS. CONSORCI DE LA ZONA FRANCA","Solar Zona Franca","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16469. DBGAMC01_11",51.0,"http://hdl.handle.net/11703/63977","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16468. DBGAMC01_10",51.0,"http://hdl.handle.net/11703/63976","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16467. DBGAMC01_09",51.0,"http://hdl.handle.net/11703/63975","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Torre de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16466. DBGAMC01_08",51.0,"http://hdl.handle.net/11703/63974","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Esquema simplificado de la vegetación actual de la sierra de Collserola]","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 8. Nou Barris. Aiguablava, Carrer (Barcelona)","","2005-07-05","2005-10-07","Pla general del solar buit. Proposta de   construir una residencia per a persones   amb discapacitat psiquica. Situat al   barri de Roquetes.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27013. 0117a023_03",117.0,"http://hdl.handle.net/11703/65633","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Aiguablava","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 8. Nou Barris. Aiguablava, Carrer (Barcelona)","","2005-07-05","2005-10-07","Pla general del solar buit. Proposta de   construir una residencia per a persones   amb discapacitat psiquica. Situat al   barri de Roquetes.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27012. 0117a023_01",117.0,"http://hdl.handle.net/11703/65632","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Aiguablava","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 8. Nou Barris. Aiguablava, Carrer (Barcelona)","","2005-07-05","2005-10-07","Pla general del solar buit. Proposta de   construir una residencia per a persones   amb discapacitat psiquica. Situat al   barri de Roquetes.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27014. 0117a023_05",117.0,"http://hdl.handle.net/11703/65634","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Aiguablava","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 8. Nou Barris. Aiguablava, Carrer (Barcelona)","","2005-07-05","2005-10-07","Pla general del solar buit. Proposta per   construir una residencia per a persones   amb discapacitat psiquica. Situat al   barri de Roquetes.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27015. 0117a023_06",117.0,"http://hdl.handle.net/11703/65635","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Aiguablava","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 4. Les Corts. Equador, Carrer (Barcelona)","","2005-07-05","2005-10-07","Pla general, contrapicat,  del solar. Proposta per   construir una residencia per a persones   amb discapacitat psiquica profunda. Situat   a la Colònia  Castells.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27018. 0117a024_05",117.0,"http://hdl.handle.net/11703/65638","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Equador","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 4. Les Corts. Equador, Carrer (Barcelona)","","2005-07-05","2005-10-07","Pla general del solar buit. Proposta per   construir una residencia per a persones   amb discapacitat psiquica profunda. Situat   a la Colònia  Castells.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27016. 0117a024_01",117.0,"http://hdl.handle.net/11703/65636","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Equador","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 4. Les Corts. Equador, Carrer (Barcelona)","","2005-07-05","2005-10-07","Pla general, contrapicat,  del solar. Proposta per   construir una residencia per a persones   amb discapacitat psiquica profunda. Situat   a la Colònia  Castells.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27017. 0117a024_04",117.0,"http://hdl.handle.net/11703/65637","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Equador","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Corts Catalanes, Gran Via (Barcelona)","","2005-07-04","2005-10-07","Pla general, contrapicat,  d'un solar buit.   Proposat   per construir un edifici d'habitatges.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27011. 0117a022_08",117.0,"http://hdl.handle.net/11703/65631","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar gran via Corts Catalanes","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Corts Catalanes, Gran Via (Barcelona)","","2005-07-04","2005-10-07","Pla general d'un solar buit. Proposat   per construir un edifici d'habitatges.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27010. 0117a022_04",117.0,"http://hdl.handle.net/11703/65630","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar gran via Corts Catalanes","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16480. DBGAMC02_07",51.0,"http://hdl.handle.net/11703/63988","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16470. DBGAMC01_12",51.0,"http://hdl.handle.net/11703/63978","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16482. DBGAMC02_10",51.0,"http://hdl.handle.net/11703/63990","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16478. DBGAMC02_05",51.0,"http://hdl.handle.net/11703/63986","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16479. DBGAMC02_06",51.0,"http://hdl.handle.net/11703/63987","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16481. DBGAMC02_08",51.0,"http://hdl.handle.net/11703/63989","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Vil·la Joana, actualment Museu Verdaguer]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16471. DBGAMC01_13",51.0,"http://hdl.handle.net/11703/63979","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16472. DBGAMC01_14",51.0,"http://hdl.handle.net/11703/63980","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16477. DBGAMC02_04",51.0,"http://hdl.handle.net/11703/63985","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16475. DBGAMC02_02",51.0,"http://hdl.handle.net/11703/63983","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16476. DBGAMC02_03",51.0,"http://hdl.handle.net/11703/63984","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16473. DBGAMC01_15",51.0,"http://hdl.handle.net/11703/63981","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16474. DBGAMC02_01",51.0,"http://hdl.handle.net/11703/63982","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 6. Gràcia. Hospital Militar, Avinguda (Barcelona)","","2005-07-12","2005-10-07","Pla general del lateral del solar. Proposta per   construir una residencia per a la gent gran i   centre de dia. A l'Antic Hospital Militar.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27021. 0117a025_09",117.0,"http://hdl.handle.net/11703/65641","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar av. Hopital Militar","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 6. Gràcia. Hospital Militar, Avinguda (Barcelona)","","2005-07-12","2005-10-07","Pla general del lateral del solar. Proposta per   construir una residencia per a la gent gran i   centre de dia. A l'Antic Hospital Militar.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27020. 0117a025_05",117.0,"http://hdl.handle.net/11703/65640","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar av. Hopital Militar","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 6. Gràcia. Hospital Militar, Avinguda (Barcelona)","","2005-07-12","2005-10-07","Pla general del lateral del solar. Proposta per   construir una residencia per a la gent gran i   centre de dia. A l'Antic Hospital Militar.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27019. 0117a025_04",117.0,"http://hdl.handle.net/11703/65639","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar av. Hopital Militar","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 6. Gràcia. Hospital Militar, Avinguda (Barcelona)","","2005-07-12","2005-10-07","Pla general del lateral del solar. Proposta per   construir una residencia per a la gent gran i   centre de dia. A l'Antic Hospital Militar.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27022. 0117a025_12",117.0,"http://hdl.handle.net/11703/65642","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar av. Hopital Militar","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 1. Ciutat Vella. Arc de Sant Cristòfol, Carrer (Barcelona). Mestres Casals i Martorell, Carrer (Barcelona)","","2005-07-13","2005-10-07","Pla general, contrapicat del terrat d'un edifici de   l'àrea estudiada.. Proposta per construir   una residencia per a la gent gran i centre   de dia. Situat a Ciutat Vella, al Centre Històric   de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27028. 0117a026_09",117.0,"http://hdl.handle.net/11703/65648","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Arc de St. Cristòfol, carrer Mestres Casals i Martorell","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 1. Ciutat Vella. Arc de Sant Cristòfol, Carrer (Barcelona). Mestres Casals i Martorell, Carrer (Barcelona)","","2005-07-13","2005-10-07","Pla general de l'àrea estudiada.. Proposta per   construir una residencia per a la gent gran i   centre de dia. Situat a Ciutat Vella, al Centre   Històric de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27023. 0117a026_01",117.0,"http://hdl.handle.net/11703/65643","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Arc de St. Cristòfol, carrer Mestres Casals i Martorell","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 1. Ciutat Vella. Arc de Sant Cristòfol, Carrer (Barcelona). Mestres Casals i Martorell, Carrer (Barcelona)","","2005-07-13","2005-10-07","Pla general, contrapicat del terrat d'un edifici de   l'àrea estudiada.. Proposta per construir   una residencia per a la gent gran i centre   de dia. Situat a Ciutat Vella, al Centre Històric   de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27027. 0117a026_07",117.0,"http://hdl.handle.net/11703/65647","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Arc de St. Cristòfol, carrer Mestres Casals i Martorell","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 1. Ciutat Vella. Arc de Sant Cristòfol, Carrer (Barcelona). Mestres Casals i Martorell, Carrer (Barcelona)","","2005-07-13","2005-10-07","Primer pla d'un carrer de l'àrea estudiada.. Proposta per   construir una residencia per a la gent gran i   centre de dia. Situat a Ciutat Vella, al Centre   Històric de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27024. 0117a026_03",117.0,"http://hdl.handle.net/11703/65644","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Arc de St. Cristòfol, carrer Mestres Casals i Martorell","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 1. Ciutat Vella. Arc de Sant Cristòfol, Carrer (Barcelona). Mestres Casals i Martorell, Carrer (Barcelona)","","2005-07-13","2005-10-07","Pla general, contrapicat del terrat d'un edifici de   l'àrea estudiada.. Proposta per construir   una residencia per a la gent gran i centre   de dia. Situat a Ciutat Vella, al Centre Històric   de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27026. 0117a026_06",117.0,"http://hdl.handle.net/11703/65646","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Arc de St. Cristòfol, carrer Mestres Casals i Martorell","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16487. DBGAMC02_20",51.0,"http://hdl.handle.net/11703/63995","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Direcció Tècnica d'Urbanisme","","Barcelona. Districte 1. Ciutat Vella. Arc de Sant Cristòfol, Carrer (Barcelona). Mestres Casals i Martorell, Carrer (Barcelona)","","2005-07-13","2005-10-07","Primer pla d'un carrer de l'àrea estudiada.. Proposta per   construir una residencia per a la gent gran i   centre de dia. Situat a Ciutat Vella, al Centre   Històric de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","27025. 0117a026_04",117.0,"http://hdl.handle.net/11703/65645","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","SOLARS. EDIFICIS MUNICIPALS. RESIDÈNCIES","Solar c. Arc de St. Cristòfol, carrer Mestres Casals i Martorell","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Llobregat (Catalunya : Delta)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16494. DBGAMD01_11",51.0,"http://hdl.handle.net/11703/64002","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Riu Llobregat]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Llobregat (Catalunya : Delta)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16495. DBGAMD02_01",51.0,"http://hdl.handle.net/11703/64003","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Llobregat]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16483. DBGAMC02_14",51.0,"http://hdl.handle.net/11703/63991","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Llobregat (Catalunya : Delta)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16493. DBGAMD01_10",51.0,"http://hdl.handle.net/11703/64001","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Llobregat]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16486. DBGAMC02_17",51.0,"http://hdl.handle.net/11703/63994","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Parc de Collserola (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16485. DBGAMC02_16",51.0,"http://hdl.handle.net/11703/63993","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Parc de Collserola]","image",""
