"Nom_projecte ","Breu_Descripció_Projecte ","Entitat_Sol·licitant ","Desc_Modalitat","Collectiu_Destinatari ","Adreça ","Codi_Postal ","Ciutat","Longitud","Latitud","Àmbit_Territorial "
"Top Manta","Projecte de millora de les condicions laborals, visibilització i resignificació de la la venda ambulant i de la situació dels manters consistent en reformar l'espai de creació i estampació amb maquinària nova, per tal de millorar la situació socioeconòmica del barri i els manters que segueixen patint les irregularitats d’aquest sistema, visibilitzant així la importància de la cooperació i de la feina en equip. ","Asociación Popular de Vendedores Ambulantes de Barcelona","Empresa al territori","Població migrant i racialitzada","c/ d'en Roig 13",8001.0,"Barcelona",2.16854,"41.38074","El Raval"
"Consolidació de la Fira Agrícola","Projecte destinat a donar una empenta i nous recursos, tan materials com humans, a la Fira Agrícola de Collserola, incloent els següents termes a la propera edició: mostra del Banc de Llavors de Vallvidrera, venta de planter, mostra de paradistes de la Serra, promoció del Mercat 2.0 i de la futura Aula Ambiental, xerrades i tallers participatius diversos, entre d’altres.","Associació Can Pujades","Models agroalimentaris sostenibles i cosum responsable","paradistes, productores, pageses, talleristes i resta d'implicades a la Fira; persones que vagin a la Fira; veïns i veïnes del barri en general","Reis Catòlics, 16-32",8017.0,"Barcelona",2.10307,"41415","Vallvidrera, el Tibidabo i les Planes"
"Ocupació 2.0","Projecte que treballa per aconseguir l’autonomia plena de persones aturades, que no poden accedir a la renda garantida de ciutadania però que es troben en situacions i risc d’exclusió social, en el seu procés de recerca de feina fomentant l’ús de les noves tecnologies i les xarxes socials com a element clau per a la seva inserció sociolaboral, impulsant així accions per reduir l’escletxa digital d’ús i de qualitat d´ús, que avui dia suposa un factor de desigualtat social.","FUNDACIÓ APIP-ACAM","Foment de l'ocupació de qualitat al territori","Persones aturades que no puguin accedir a la renda garantida de ciutadania però que es trobin en situacuóo i risc d'exclusió social","carrer Paloma, 21",8001.0,"Barcelona",2.19755,"41.43632","El Bon Pastor, Baró de Viver i La Trinitat Vella"
"Servei a Emprenedores Novells (SEN)","Projecte destinat a afavorir la consolidació d’iniciatives d’emprenedoria de menys de 3,5 anys de vida liderades per dones, a través d'un acompanyament/mentoring destinat a garantir la sostenibilitat i adaptació dels projectes d’emprenedoria en el context canviant del mercat actual i així reduir la elevada taxa de mortalitat tradicionalment associada a aquests tipus de projectes.","SURT. FUNDACIÓ DE DONES. FUNDACIÓ PRIVADA","Empresa al territori","Empreses de recent creació liderades per dones.","GUÀRDIA, 14 BAIXOS",8001.0,"Barcelona",2.17421,"41.37764","Ciutat Vella "
"Mentoria Atenea","Projecte pilot que pretén dissenyar i implementar una intervenció innovadora per donar resposta a la necessitat de treball per millorar la qualitat de les oportunitats sociolaborals de dones cisgènere i transgènere en situació d’exclusió social i/o supervivents de violències masclistes.","Metges del Món","Foment de l'ocupació de qualitat al territori","Dones cisgènere i transgènere en situació de vulnerabiltat","Carrer Erasme de Janer, nº 8, desptax 2",8001.0,"Barcelona",2.16586,"41.38017","Ciutat Vella"
"Alimentant el Besòs-Maresme","Projecte de promoció de l'alimentació saludable a través de la creació d'una Taula Comunitària d'Alimentació on participin tots els actors clau del barri del Besòs i el Maresme, amb l'objectiu de reforçar les iniciatives existents i impulsar noves experiències que millorin la seguretat alimentària i contribueixin a l’assequibilitat i accessibilitat dels aliments (i altres productes de primera necessitat) de qualitat.","Albert Rojas Garcia","Models agroalimentaris sostenibles i cosum responsable","veinat Besòs-Maresme","","","Barcelona",2.21414,"41.41678","El Besòs i el Maresme"
"No T'aturis","Projecte de foment de l’ocupació per als veïns i veïnes dels barris amb més taxa d’atur del districte de Sant Andreu. Destinat a col·lectius especialment vulnerables a la situació d’atur participants de programes d’inserció laboral del territori.","LA TIRETA Salut Mental","Foment de l'ocupació de qualitat al territori","Persones especialment vulnerables a la situació d'atur d'edats entre 16-64","C/ de Quito 19",8030.0,"Barcelona",2.21414,"41.41678","La Trinitat Vella i Sant Andreu de Palomar"
"CreadonESS - Emprenedoria tèxtil -","Projecte que potencia l'emprenedoria i la inserció sociolaboral en el sector tèxtil de dones vulnerables principalment migrades que es troben a l'atur, dones refugiades, dones en situació de violència masclista, dones perceptores de renda mínima d’inserció amb escasses xarxes socials i possibilitats d'inserció en la societat d'acollida, tot generant noves oportunitats socials i laborals.","Asociación Cultural La Quinta Pata","Innovació socioeconòmica en sectors estratègics","Dones vulnerables principalment migrades i refugiades, dones en situació de violència masclista, dones en situació irregular administrativa amb diferents bagatges culturals i socials, és un programa obert també a la diversitat funcional, diversa orientació sexual o identitat de gènere, dones amb dificultat per accedir a espais socials o laborals, com dones en atur de llarga durada.","Nou de Sant Francesc 15",8002.0,"Barcelona",2.15833,"41.40605","Barcelona"
"Keras Buti al mercat","Projecte de cooperativa de consum que pretén activar un node amb el qual enfortir i compartir aprenentatges sobre l’economia social i solidària, el consum responsable, l’agroecologia i l’economia feminista (entesa com una pràctica econòmica que posa la vida al centre), així com impulsar el seu vincle amb les trames culturals comunitàries dels territoris i recuperar el vincle econòmic i cultural entre els barris de La Marina i el parc agrari del Baix Llobregat, incloent els seus productors i productores agroecològiques.","Associació Keras Buti","Models agroalimentaris sostenibles i cosum responsable","Persones vulnerables i/o en situació irrregular i veinatge de La Marina","Villaroel, 10",8011.0,"Barcelona",2.14121,"41.35608","La Marina"
"Menja’t Montjuïc","Projecte destinat a connectar les entitats i recursos culturals de Montjuïc amb els comerços d’hostaleria i altres sector del Poble Sec, mitjançant iniciatives destinades a acostar l’oferta cultural a la clientela dels establiments del barri i a comptar amb els comerços del Poble Sec per part dels recursos culturals de Montjuïc. Es vol realitzar una Guia/mapa de Bars i establiments culturals i gastronòmics del Poble Sec.","PETIT MONTJUÏC S.L.","Turisme responsable","Entitats culturals, establiments de restauració de Poble-sec, veïnat de Poble-sec i turistes (autòctons i estrangers). ","c/ Bruc, 148, planta 1era",8037.0,"Barcelona",2.15882,"41.37102","El Poble-sec"
"Circuit","Projecte consistent en un itinerari en clau territorial adreçat a col·lectius a l´atur especialment vulnerables, que té per objectiu dissenyar i acompanyar els itineraris d´inserció sociolaboral per a col·lectius especialment vulnerables a l´atur, que facilitin la promoció de l´ocupació de qualitat a través de les línies d´activitat econòmica pròpia del projecte Tàpies, 61 o altres agents de proximitat implicats en el desenvolupament econòmic i social.","Impulsem","Foment de l'ocupació de qualitat al territori","Persones amb especials dificultats d'inserció","C/ Tàpies, 6",8001.0,"Barcelona",2171.0,"41.37668","Ciutat Vella"
"Campament d'innovació, creativitat i emprenedoria per a joves iniciatives col·lectives","Projecte de foment de la cultura emprenedora en clau d’Economia Social i Solidària en el col·lectiu de joves a través d’accions formatives i la dinamització i promoció d’iniciatives col·lectives amb clara orientació a activitat socioeconòmica.","Calidoscoop SCCL","Innovació socioeconòmica en sectors estratègics","Persones joves","C/ CASP 43, BXS",8010.0,"Barcelona",2.2033,"41.39824","Sant Martí"
"La Constructiva, constructora cooperativa, per l'execució de dues obres d'habitatge cooperatiu en cessió d'ús a Barcelona","Es tracta d’un projecte en l’àmbit de la gestió de la construcció ètica i social que promou els valors cooperatius en el sector de la construcció a la ciutat. Un projecte que dona resposta a la necessitat de construcció sostenible i cooperativa i en concret als projectes d’habitatge cooperatiu en cessió d’ús que es desenvolupen a la ciutat de Barcelona.","La Constructiva, construcció cooperativa SCCL","Innovació socioeconòmica en sectors estratègics","Cooperatives d'habitatge en cessió d'ús i les usuàries d'aquestes                                  Col·lectius, entitats i empreses proveïdores, participants en el procés productiu","Casp 43, Baixos",8010.0,"Barcelona",2.20702,"41.40372","Les Roquetes  i Poblenou "
"Espai conciliació familiar","Projecte per a la posada en marxa d'un espaï de conciliació, sobretot per famílies monoparentals en què la dona és la cap de família. Un espai que aculli als infants de les famílies que estan realitzant un itinerari d'inserció laboral i, d’aquesta manera, permetre fer aquest recorregut sense interrupcions i per un període de temps concret i específic, però necessari, per aconseguir feina (formació, entrevistes, pràctiques, gestions necessàries per a la inserció laboral).","Fundació de l'Esperança","Foment de l'ocupació de qualitat al territori","Dones caps de família de famílies monoparentals","Plaça de Sant Just, 5",8001.0,"Barcelona",2177.0,"41.38297","Ciutat Vella"
"Professionalitzant el Futur!","Projecte Integral de professionalització de l'emprenedoria en l'àmbit de la música, amb l'objectiu de proporcionar les eines necessàries per a la correcta inserció laboral del col·lectiu musical jove i emergent amb dificultat per emprendre i/o de les zones prioritàries d'intervenció, i alhora generar impacte al territori en el qual es desenvolupa.","Music Mentoring","Empresa al territori","Joves de 18 a 25 anys","c/ Socrates, 65, baixos",8030.0,"Barcelona",2.1863,"41.43175","Barcelona"
"redempleo","Projecte de millora de les possibilitats d'inserció laboral de persones que no disposen d'un habitatge digne i que té l'objectiu d'empoderar a les persones assistents al recurs ""La merienda: acogida a personas sin hogar"" donant-los eines i recursos per a què puguin buscar feina activament i mantenir-se d'una forma autònoma.","Ass Sud Integració","Foment de l'ocupació de qualitat al territori","Persones sense llar (amb i sense papers)","Bruc, 125, àtic",8037.0,"Barcelona",2.1667,"41.39671","L'Eixample"
"La Fabrique es queda!","Projecte global d'actualització de l'obrador de pa i brioixeria de Can Farinetes per tal de fer-lo més funcional, productiu i adaptat a les necessitats d'una producció sostenible, artesana i ecològica, introduint-hi millores en espais i procediments que faran la feina de l'equip molt més confortable i un obrador molt més obert al barri.","Can Farinetes SL","Empresa al territori","Població de Poble-sec, negocis proveïdors i clients i equip de la Fabrique. ","c/ Radas, 35",8004.0,"Barcelona",2.16094,"41.37333","El Poble-sec"
"Centre de reciclatge creatiu de Roquetes","Projecte d’obertura d'un centre de producció, comercialització i formació de mobles de fusta massissa amb segell PEFC i de creació d'una línia de mobles i objectes reciclats del barri amb empremta ecològica. ","Francisco García","Empresa al territori","Veïnat, associacions, col·legis i começos com a proveïdors, consumidors i cooperadors","c/ Alcantara, 55-57, 2n 3a",8042.0,"Barcelona",2.17259,"41.44708","Les Roquetes"
